repo_name,time,scan_group,paper_match_status,metric,paper_value,our_value,diff,abs_diff,identical
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-01,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-02,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-03,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-04,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-05,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-06,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-07,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-08,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-09,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-10,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-11,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-12,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-01,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-02,control,both,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,control,both,static_analysis_warnings,62.0,67.0,5.0,5.0,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-04,control,left_only,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-05,control,left_only,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-06,control,left_only,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-07,control,left_only,static_analysis_warnings,,67.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-08,control,left_only,static_analysis_warnings,,67.0,,,False
AkariAsai/ScholarQABench,2024-11,control,both,static_analysis_warnings,44.0,64.0,20.0,20.0,False
AkariAsai/ScholarQABench,2024-12,control,both,static_analysis_warnings,44.0,64.0,20.0,20.0,False
AkariAsai/ScholarQABench,2025-01,control,both,static_analysis_warnings,44.0,64.0,20.0,20.0,False
AkariAsai/ScholarQABench,2025-02,control,both,static_analysis_warnings,44.0,65.0,21.0,21.0,False
AkariAsai/ScholarQABench,2025-03,control,both,static_analysis_warnings,44.0,65.0,21.0,21.0,False
AkariAsai/ScholarQABench,2025-04,control,both,static_analysis_warnings,44.0,65.0,21.0,21.0,False
AkariAsai/ScholarQABench,2025-05,control,both,static_analysis_warnings,44.0,65.0,21.0,21.0,False
AkariAsai/ScholarQABench,2025-06,control,both,static_analysis_warnings,44.0,65.0,21.0,21.0,False
AkariAsai/ScholarQABench,2025-07,control,both,static_analysis_warnings,44.0,65.0,21.0,21.0,False
AkariAsai/ScholarQABench,2025-08,control,both,static_analysis_warnings,44.0,65.0,21.0,21.0,False
