target_id,source_group,repo_name,time,paper_latest_commit,paper_ncloc,paper_bugs,paper_vulnerabilities,paper_code_smells,paper_duplicated_lines_density,paper_comment_lines_density,paper_cognitive_complexity,paper_technical_debt,paper_static_analysis_warnings,our_latest_commit,our_ncloc,our_bugs,our_vulnerabilities,our_code_smells,our_duplicated_lines_density,our_comment_lines_density,our_cognitive_complexity,our_technical_debt,our_static_analysis_warnings,row_overlap_status,commit_match_status,commit_equal_or_prefix,diff_ncloc,abs_diff_ncloc,diff_bugs,abs_diff_bugs,diff_vulnerabilities,abs_diff_vulnerabilities,diff_code_smells,abs_diff_code_smells,diff_duplicated_lines_density,abs_diff_duplicated_lines_density,diff_comment_lines_density,abs_diff_comment_lines_density,diff_cognitive_complexity,abs_diff_cognitive_complexity,diff_technical_debt,abs_diff_technical_debt,diff_static_analysis_warnings,abs_diff_static_analysis_warnings,main_root_cause,driver_abs_diff_sum_num,target_score,scan_commit,repo_path,repo_path_exists
1,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,211510.0,4466.0,0.0,33270.0,36.6,6.0,94814.0,193776.0,37736.0,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,78118.0,602.0,4.0,24822.0,1.4,8.1,65372.0,136929.0,25428.0,both,exact_match,True,-133392.0,133392.0,-3864.0,3864.0,4.0,4.0,-8448.0,8448.0,-35.2,35.2,2.1,2.1,-29442.0,29442.0,-56847.0,56847.0,-12308.0,12308.0,source_scope_inclusion_exclusion_difference,750800.2,133392.0,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,../treatment-repos/zauberzeug_nicegui,True
2,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,937017.0,324.0,38.0,11012.0,9.5,4.7,69756.0,70394.0,11374.0,08f147eb9879e899fb7939f4b9413c86164ba7f9,1025455.0,309.0,117.0,13226.0,9.1,4.9,76027.0,77811.0,13652.0,both,exact_match,True,88438.0,88438.0,-15.0,15.0,79.0,79.0,2214.0,2214.0,-0.4000000000000003,0.4000000000000003,0.2000000000000001,0.2000000000000001,6271.0,6271.0,7417.0,7417.0,2278.0,2278.0,source_scope_inclusion_exclusion_difference,755335.0,88438.0,08f147eb9879e899fb7939f4b9413c86164ba7f9,../treatment-repos/PostHog_posthog,True
3,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,550705.0,262.0,174.0,3137.0,8.6,8.6,37975.0,35928.0,3573.0,82c4055486147402d96748c0abd63de6850e83d1,550232.0,72.0,149.0,2148.0,8.6,8.6,37862.0,18884.0,2369.0,both,exact_match,True,-473.0,473.0,-190.0,190.0,-25.0,25.0,-989.0,989.0,0.0,0.0,0.0,0.0,-113.0,113.0,-17044.0,17044.0,-1204.0,1204.0,source_scope_inclusion_exclusion_difference,374588.0,17044.0,82c4055486147402d96748c0abd63de6850e83d1,../treatment-repos/DataDog_integrations-core,True
