target_id,variant,source_group,repo_name,time,category,type,paper_count,our_count,diff_our_minus_paper,paper_minus_our,abs_diff
3,paper_like,treatment,DataDog/integrations-core,2025-01,Unmapped,VULNERABILITY,0,42,42,-42,42
1,paper_like,treatment,zauberzeug/nicegui,2025-04,API Usage,CODE_SMELL,0,39,39,-39,39
1,paper_like,treatment,zauberzeug/nicegui,2025-04,Regex Issues,BUG,0,33,33,-33,33
3,paper_like,treatment,DataDog/integrations-core,2025-01,Regex Issues,CODE_SMELL,0,32,32,-32,32
3,paper_like,treatment,DataDog/integrations-core,2025-01,Empty/Incomplete Code,CODE_SMELL,0,30,30,-30,30
3,paper_like,treatment,DataDog/integrations-core,2025-01,API Usage,CODE_SMELL,0,23,23,-23,23
3,paper_like,treatment,DataDog/integrations-core,2025-01,Type Safety,CODE_SMELL,0,20,20,-20,20
3,paper_like,treatment,DataDog/integrations-core,2025-01,Logic Error,CODE_SMELL,0,12,12,-12,12
1,paper_like,treatment,zauberzeug/nicegui,2025-04,Infrastructure,CODE_SMELL,0,10,10,-10,10
1,paper_like,treatment,zauberzeug/nicegui,2025-04,Unmapped,BUG,0,10,10,-10,10
2,paper_like,treatment,PostHog/posthog,2025-04,Infrastructure,CODE_SMELL,0,9,9,-9,9
2,paper_like,treatment,PostHog/posthog,2025-04,Unmapped,VULNERABILITY,0,9,9,-9,9
3,paper_like,treatment,DataDog/integrations-core,2025-01,Unmapped,BUG,0,9,9,-9,9
1,paper_like,treatment,zauberzeug/nicegui,2025-04,CSS Issues,CODE_SMELL,0,7,7,-7,7
2,paper_like,treatment,PostHog/posthog,2025-04,Concurrency,CODE_SMELL,0,6,6,-6,6
3,paper_like,treatment,DataDog/integrations-core,2025-01,OOP/Design,CODE_SMELL,0,6,6,-6,6
2,paper_like,treatment,PostHog/posthog,2025-04,Empty/Incomplete Code,CODE_SMELL,0,5,5,-5,5
2,paper_like,treatment,PostHog/posthog,2025-04,Naming Conventions,BUG,0,5,5,-5,5
2,paper_like,treatment,PostHog/posthog,2025-04,Unmapped,BUG,0,4,4,-4,4
3,paper_like,treatment,DataDog/integrations-core,2025-01,Accessibility,BUG,0,4,4,-4,4
3,paper_like,treatment,DataDog/integrations-core,2025-01,Regex Issues,BUG,0,4,4,-4,4
1,paper_like,treatment,zauberzeug/nicegui,2025-04,Error Handling,CODE_SMELL,0,2,2,-2,2
1,paper_like,treatment,zauberzeug/nicegui,2025-04,Unmapped,VULNERABILITY,0,2,2,-2,2
2,paper_like,treatment,PostHog/posthog,2025-04,CSS Issues,BUG,0,2,2,-2,2
2,paper_like,treatment,PostHog/posthog,2025-04,OOP/Design,CODE_SMELL,0,2,2,-2,2
2,paper_like,treatment,PostHog/posthog,2025-04,Regex Issues,BUG,0,2,2,-2,2
2,paper_like,treatment,PostHog/posthog,2025-04,Data Science,CODE_SMELL,0,1,1,-1,1
2,paper_like,treatment,PostHog/posthog,2025-04,Error Handling,BUG,0,1,1,-1,1
3,paper_like,treatment,DataDog/integrations-core,2025-01,CSS Issues,CODE_SMELL,0,1,1,-1,1
3,paper_like,treatment,DataDog/integrations-core,2025-01,HTML Structure,BUG,0,1,1,-1,1
