source_group,repo_name,time,commit_match_status,paper_latest_commit,our_latest_commit,ncloc_scope_status,metric,paper_value,our_value,diff,abs_diff
control,ysj9909/SHViT,2024-06,exact_match,6a729ccf18e0b941714b529638bd3d9bacebcef0,6a729ccf18e0b941714b529638bd3d9bacebcef0,ncloc_identical,technical_debt,387.0,3967.0,3580.0,3580.0
control,ysj9909/SHViT,2024-04,exact_match,fee7ce4258e81baf9e929e90f26168d632d186a7,fee7ce4258e81baf9e929e90f26168d632d186a7,ncloc_identical,technical_debt,387.0,3967.0,3580.0,3580.0
control,ysj9909/SHViT,2024-05,exact_match,20819cb8f624e183b1fa2ce941ed18ab8037b07d,20819cb8f624e183b1fa2ce941ed18ab8037b07d,ncloc_identical,technical_debt,387.0,3967.0,3580.0,3580.0
control,zhipeixu/FakeShield,2025-05,exact_match,c34dab9b8df3dc77d2632344eb0d0af387d0658f,c34dab9b8df3dc77d2632344eb0d0af387d0658f,ncloc_identical,technical_debt,6893.0,10282.0,3389.0,3389.0
control,zhipeixu/FakeShield,2025-06,exact_match,346cb6c74c9a426c1c00d98b13e5f417161a94c1,346cb6c74c9a426c1c00d98b13e5f417161a94c1,ncloc_identical,technical_debt,6893.0,10282.0,3389.0,3389.0
control,zhipeixu/FakeShield,2025-03,exact_match,7bd43c8badef7341807e85e55a8b216dac6c2424,7bd43c8badef7341807e85e55a8b216dac6c2424,ncloc_identical,technical_debt,6893.0,10282.0,3389.0,3389.0
control,zhipeixu/FakeShield,2025-02,exact_match,b807b92ac958678bb278e741864ba4b821fb73c1,b807b92ac958678bb278e741864ba4b821fb73c1,ncloc_identical,technical_debt,6893.0,10282.0,3389.0,3389.0
control,zhipeixu/FakeShield,2025-04,exact_match,2910fb826ea20e11c2c2553c36984630216c0bab,2910fb826ea20e11c2c2553c36984630216c0bab,ncloc_identical,technical_debt,6893.0,10282.0,3389.0,3389.0
treatment,Anemll/Anemll,2025-07,exact_match,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,ncloc_identical,technical_debt,4799.0,2097.0,-2702.0,2702.0
treatment,Anemll/Anemll,2025-06,exact_match,b0ea623eaac791a0803849c4f35ef8357f98935b,b0ea623eaac791a0803849c4f35ef8357f98935b,ncloc_identical,technical_debt,3921.0,1490.0,-2431.0,2431.0
treatment,keephq/keep,2024-07,exact_match,bd626be9f9760d7665d906f637467f8b811175d3,bd626be9f9760d7665d906f637467f8b811175d3,ncloc_identical,technical_debt,7927.0,10110.0,2183.0,2183.0
treatment,keephq/keep,2024-05,exact_match,23e20189f22444f91b33f89339fe438bc08c9a16,23e20189f22444f91b33f89339fe438bc08c9a16,ncloc_identical,technical_debt,6535.0,8442.0,1907.0,1907.0
control,PennyLaneAI/catalyst,2025-08,exact_match,0150699ff9adda89142bf65e2600619d61f6d55a,0150699ff9adda89142bf65e2600619d61f6d55a,ncloc_identical,technical_debt,3447.0,1599.0,-1848.0,1848.0
treatment,keephq/keep,2024-06,exact_match,e6ce080de41cd5e218eff5357b00f6ebdbb5b757,e6ce080de41cd5e218eff5357b00f6ebdbb5b757,ncloc_identical,technical_debt,7013.0,8855.0,1842.0,1842.0
control,PennyLaneAI/catalyst,2025-06,exact_match,f43af48a983a734ca863a04362b99176d506bcb8,f43af48a983a734ca863a04362b99176d506bcb8,ncloc_identical,technical_debt,3381.0,1614.0,-1767.0,1767.0
control,PennyLaneAI/catalyst,2025-05,exact_match,06db0834814629bbac4bea9188101898cc4b0a91,06db0834814629bbac4bea9188101898cc4b0a91,ncloc_identical,technical_debt,3162.0,1561.0,-1601.0,1601.0
control,PennyLaneAI/catalyst,2025-03,exact_match,d5329df09ed618392f858c17160e1d7833a2588c,d5329df09ed618392f858c17160e1d7833a2588c,ncloc_identical,technical_debt,3046.0,1498.0,-1548.0,1548.0
control,PennyLaneAI/catalyst,2025-02,exact_match,f4f4105451484b80b4fb3f71dc41ff395c188cce,f4f4105451484b80b4fb3f71dc41ff395c188cce,ncloc_identical,technical_debt,3018.0,1480.0,-1538.0,1538.0
control,aio-libs/aiohttp,2024-02,exact_match,a75ed655d7200102bb0129445469a6f5b6fc7f45,a75ed655d7200102bb0129445469a6f5b6fc7f45,ncloc_identical,technical_debt,4346.0,2836.0,-1510.0,1510.0
control,PennyLaneAI/catalyst,2025-01,exact_match,d7391b2a18820e80af59095204f668f1758e2278,d7391b2a18820e80af59095204f668f1758e2278,ncloc_identical,technical_debt,2972.0,1465.0,-1507.0,1507.0
control,aio-libs/aiohttp,2024-09,exact_match,22a12cc2e2ef289d9e96fd87dfc17272177e52ac,22a12cc2e2ef289d9e96fd87dfc17272177e52ac,ncloc_identical,technical_debt,4400.0,2906.0,-1494.0,1494.0
control,aio-libs/aiohttp,2024-04,exact_match,c215e56dc175e9da545e73b00531f743833e0de8,c215e56dc175e9da545e73b00531f743833e0de8,ncloc_identical,technical_debt,4320.0,2839.0,-1481.0,1481.0
control,aio-libs/aiohttp,2024-03,exact_match,1542348fb93fabac142833d267c22210644c0b5e,1542348fb93fabac142833d267c22210644c0b5e,ncloc_identical,technical_debt,4152.0,2671.0,-1481.0,1481.0
control,aio-libs/aiohttp,2024-05,exact_match,25e3e41ad0012381f214886ff437b924a4fda2f2,25e3e41ad0012381f214886ff437b924a4fda2f2,ncloc_identical,technical_debt,4320.0,2844.0,-1476.0,1476.0
control,aio-libs/aiohttp,2024-06,exact_match,10e3940aff0945180b71193a45cedf927b4d448d,10e3940aff0945180b71193a45cedf927b4d448d,ncloc_identical,technical_debt,4320.0,2844.0,-1476.0,1476.0
control,PennyLaneAI/catalyst,2024-12,exact_match,4ab437d35491088597bb6f2e4261bab3c3cedc2b,4ab437d35491088597bb6f2e4261bab3c3cedc2b,ncloc_identical,technical_debt,3035.0,1576.0,-1459.0,1459.0
control,aio-libs/aiohttp,2024-01,exact_match,fa2bb5d2594043ab7ebc6153f2c6ef3a728c328a,fa2bb5d2594043ab7ebc6153f2c6ef3a728c328a,ncloc_identical,technical_debt,4111.0,2660.0,-1451.0,1451.0
control,aio-libs/aiohttp,2024-08,exact_match,b73a4c170c64e2691331542d30133df3d54032c0,b73a4c170c64e2691331542d30133df3d54032c0,ncloc_identical,technical_debt,4360.0,2928.0,-1432.0,1432.0
control,aio-libs/aiohttp,2024-07,exact_match,4c81115c0318aa2c7975cb92eeb8fcde9fc84f8f,4c81115c0318aa2c7975cb92eeb8fcde9fc84f8f,ncloc_identical,technical_debt,4326.0,2930.0,-1396.0,1396.0
control,HelpingAI/Webscout,2025-03,exact_match,0d6ff18a9799de1f2bbe637431e363e4c49006e7,0d6ff18a9799de1f2bbe637431e363e4c49006e7,ncloc_identical,technical_debt,10026.0,11413.0,1387.0,1387.0
