cause_category,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share
commit_selection_difference,909,909,37,391,518,411,107,162.61221122112212,0.0,1.0,145.40000000000032,405.0,68575.0,163421.5,4110.140704070406,4272.7529152915295,0.5698569856985699,0.4521452145214521,0.11771177117711772
ncloc_missing_exact_commit,117,117,15,110,7,0,7,-1431.3076923076924,0.0,0.0,0.0,3636.9999999997967,37725.0,167463.0,1431.3076923076924,0.0,0.05982905982905983,0.0,0.05982905982905983
paper_commit_missing,3906,3906,108,2173,1733,1228,505,-85.58835125448029,0.0,0.0,98.0,362.0,25067.0,735384.7,2000.271966205837,1914.683614951357,0.44367639528929853,0.3143881208397337,0.12928827444956478
rule_config_analyzer_profile_signal,8198,8198,178,5142,3056,2009,1047,3.730824591363747,0.0,0.0,36.0,112.14999999999964,3580.0,233787.7,1190.744474262015,1194.475298853379,0.3727738472798243,0.24505977067577459,0.12771407660404976
source_scope_difference_or_mixed,5193,5193,63,1316,3877,2420,1457,231.19820912767187,0.0,11.0,857.6000000000004,2086.0,133392.0,3188655.9,18909.329597535147,19140.527806662816,0.7465819372231851,0.46601193914885425,0.2805699980743308
