cause_category,source_group,repo_name,metric,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
rule_config_analyzer_profile_signal,control,zhang-xr/FirmLLM,static_analysis_warnings,3,3,1,0,3,3,0,61.0,71.0,71.0,71.0,71.0,71.0,183.0,110.33333333333333,171.33333333333334,1.0,1.0,0.0,0.0007062828296083024
rule_config_analyzer_profile_signal,control,Event-AHU/OpenEvDET,static_analysis_warnings,6,6,1,0,6,6,0,30.5,30.5,30.5,41.0,41.0,41.0,183.0,278.3333333333333,308.8333333333333,1.0,1.0,0.0,0.0007062828296083024
source_scope_difference_or_mixed,control,FMInference/FlexiGen,bugs,3,3,1,0,3,0,3,-60.0,-60.0,60.0,60.0,60.0,60.0,180.0,278.0,218.0,1.0,0.0,1.0,0.0028033453254216697
source_scope_difference_or_mixed,treatment,keephq/keep,ncloc,17,17,1,0,17,0,17,-10.588235294117647,-11.0,11.0,13.0,13.0,13.0,180.0,111930.11764705883,111919.5294117647,1.0,0.0,1.0,0.0001298777201265009
rule_config_analyzer_profile_signal,control,PiotrMachowski/Home-Assistant-custom-components-TGE,technical_debt,7,7,1,0,7,7,0,25.714285714285715,25.0,25.0,29.000000000000004,31.999999999999993,35.0,180.0,8.714285714285714,34.42857142857143,1.0,1.0,0.0,0.00012413305132143081
rule_config_analyzer_profile_signal,control,djeada/Kurs-Podstaw-Pythona,technical_debt,12,12,1,0,12,12,0,15.0,15.0,15.0,15.0,15.0,15.0,180.0,585.5,600.5,1.0,1.0,0.0,0.00012413305132143081
rule_config_analyzer_profile_signal,treatment,The-Pocket/PocketFlow,code_smells,8,8,1,0,8,5,3,16.125,25.5,25.5,34.3,34.65,35.0,179.0,80.875,97.0,1.0,0.625,0.375,0.0006451264123402951
source_scope_difference_or_mixed,treatment,TextGeneratorio/text-generator.io,vulnerabilities,15,15,1,0,15,15,0,11.733333333333333,8.0,8.0,17.0,17.0,17.0,176.0,14.2,25.933333333333334,1.0,1.0,0.0,0.022724338282763074
source_scope_difference_or_mixed,treatment,cgevans/qslib,technical_debt,5,5,1,0,5,1,4,-25.6,-38.0,38.0,38.0,38.0,38.0,176.0,1016.8,991.2,1.0,0.2,0.8,0.00012137453906984346
rule_config_analyzer_profile_signal,treatment,sirkirby/unifi-network-rules,code_smells,9,9,1,0,9,9,0,19.444444444444443,12.0,12.0,38.2,38.6,39.0,175.0,56.0,75.44444444444444,1.0,1.0,0.0,0.0006307101796622997
rule_config_analyzer_profile_signal,control,NVIDIA/cuEquivariance,code_smells,9,9,1,0,9,1,8,-18.333333333333332,-14.0,14.0,49.6,50.8,52.0,175.0,274.3333333333333,256.0,1.0,0.1111111111111111,0.8888888888888888,0.0006307101796622997
source_scope_difference_or_mixed,treatment,TextGeneratorio/text-generator.io,bugs,15,15,1,0,15,0,15,-11.6,-12.0,12.0,12.0,12.0,12.0,174.0,618.8666666666667,607.2666666666667,1.0,0.0,1.0,0.0027099004812409476
commit_selection_difference,treatment,utensils/mcp-nixos,technical_debt,1,1,1,0,1,1,0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,1447.0,1621.0,1.0,1.0,0.0,0.00011999528294404979
rule_config_analyzer_profile_signal,control,jinli99/iShapEditing,technical_debt,3,3,1,0,3,3,0,57.333333333333336,51.0,51.0,66.2,68.1,70.0,172.0,1062.3333333333333,1119.6666666666667,1.0,1.0,0.0,0.00011861602681825612
source_scope_difference_or_mixed,control,MalevichAI/malevich,cognitive_complexity,8,8,1,0,8,0,8,-21.0,-21.0,21.0,21.0,21.0,21.0,168.0,2422.875,2401.875,1.0,0.0,1.0,0.0011145313660970173
source_scope_difference_or_mixed,treatment,allthingslinux/tux,technical_debt,4,4,1,0,4,4,0,41.25,37.5,37.5,74.0,77.0,80.0,165.0,434.25,475.5,1.0,1.0,0.0,0.00011378863037797824
rule_config_analyzer_profile_signal,treatment,instructor-ai/instructor,static_analysis_warnings,18,18,1,1,17,2,15,-4.555555555555555,-7.5,9.0,14.800000000000004,19.449999999999996,22.0,164.0,133.66666666666666,129.11111111111111,0.9444444444444444,0.1111111111111111,0.8333333333333334,0.0006329529183374951
commit_selection_difference,treatment,namuan/trading-utils,static_analysis_warnings,1,1,1,0,1,1,0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,254.0,417.0,1.0,1.0,0.0,0.0006290934493232421
rule_config_analyzer_profile_signal,control,vortezwohl/Bhakti,technical_debt,4,4,1,0,4,4,0,40.75,40.0,40.0,42.1,42.55,43.0,163.0,217.75,258.5,1.0,1.0,0.0,0.00011240937425218457
rule_config_analyzer_profile_signal,control,zhang-xr/FirmLLM,code_smells,3,3,1,0,3,3,0,54.333333333333336,65.0,65.0,65.0,65.0,65.0,163.0,109.33333333333333,163.66666666666666,1.0,1.0,0.0,0.0005874614816283135
rule_config_analyzer_profile_signal,control,RobinWu218/ToST,technical_debt,1,1,1,0,1,1,0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,699.0,862.0,1.0,1.0,0.0,0.00011240937425218457
source_scope_difference_or_mixed,treatment,OpenSPP/openspp-modules,vulnerabilities,18,18,1,0,18,18,0,8.944444444444445,9.0,9.0,11.0,11.0,11.0,161.0,0.0,8.944444444444445,1.0,1.0,0.0,0.02078760490639122
rule_config_analyzer_profile_signal,control,ITSpecialist111/ai_automation_suggester,code_smells,8,8,1,0,8,8,0,19.75,26.0,26.0,26.0,26.0,26.0,158.0,10.0,29.75,1.0,1.0,0.0,0.0005694411907808192
rule_config_analyzer_profile_signal,control,ITSpecialist111/ai_automation_suggester,static_analysis_warnings,8,8,1,0,8,8,0,19.75,26.0,26.0,26.0,26.0,26.0,158.0,11.125,30.875,1.0,1.0,0.0,0.000609796104251977
commit_selection_difference,treatment,namuan/trading-utils,code_smells,1,1,1,0,1,1,0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,237.0,395.0,1.0,1.0,0.0,0.0005694411907808192
source_scope_difference_or_mixed,treatment,utensils/mcp-nixos,static_analysis_warnings,4,4,1,0,4,4,0,39.5,18.0,18.0,82.20000000000002,95.09999999999997,108.0,158.0,63.0,102.5,1.0,1.0,0.0,0.000609796104251977
source_scope_difference_or_mixed,treatment,grapeot/web_agentic_ai,static_analysis_warnings,2,2,1,0,2,2,0,78.5,78.5,78.5,90.1,91.55,93.0,157.0,52.0,130.5,1.0,1.0,0.0,0.000605936635237724
rule_config_analyzer_profile_signal,control,aj47/100x-orchestrator,static_analysis_warnings,4,4,1,0,4,4,0,39.0,39.0,39.0,40.4,40.7,41.0,156.0,44.25,83.25,1.0,1.0,0.0,0.000602077166223471
source_scope_difference_or_mixed,treatment,W1ndys/Blog,technical_debt,9,9,1,0,9,9,0,17.0,17.0,17.0,17.0,17.0,17.0,153.0,72.77777777777777,89.77777777777777,1.0,1.0,0.0,0.00010551309362321619
