dataset_source,repo_name,time,event,time_to_event,post_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,log1p_age,log1p_contributors,log1p_stars,log1p_issues,has_parse_exclusion,parse_exclusion_records,npr_detection_complete,npr_specification,npr_agc_threshold,npr_algorithm_version,npr_decision_rule,npr_window_policy,npr_function_aggregation,npr_partial_body_policy,npr_scoring_model,npr_window_size_literal_space_tokens,npr_perturbations_per_window,npr_random_seed,treatment_group,npr_agc_regular_module_function_unique_bodies,log1p_npr_agc_regular_module_function_unique_bodies,has_npr_agc_regular_module_function_unique_body,zero_npr_agc_regular_module_function_unique_body_month,regular_function_scope,agc_count_unit,agc_outcome_scale,analysis_ready_regular_module_function_agc_unique_body_paper_ncloc,analysis_ready_regular_module_function_agc_unique_body_python_snapshot_ncloc
treatment,Apocrathia/home-assistant-config,2024-05,2025-02,-9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2191.0,48.0,59,4,5.0,2.0,7.692569648067906,1.6094379124341005,1.791759469228055,1.0986122886681096,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2024-06,2025-02,-8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2222.0,48.0,59,1,2.0,0.0,7.706612913964197,0.6931471805599453,1.0986122886681096,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2024-07,2025-02,-7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2252.0,48.0,59,3,0.0,0.0,7.720017940432244,1.3862943611198906,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2024-10,2025-02,-4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2344.0,48.0,59,1,0.0,0.0,7.76004068088038,0.6931471805599453,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2024-11,2025-02,-3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2375.0,48.0,59,3,0.0,6.0,7.773173680482535,1.3862943611198906,0.0,1.9459101490553128,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2024-12,2025-02,-2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2405.0,48.0,59,1,1.0,0.0,7.785720896534624,0.6931471805599453,0.6931471805599453,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2025-01,2025-02,-1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2436.0,48.0,59,2,0.0,0.0,7.798523053625206,1.0986122886681096,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2025-02,2025-02,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2467.0,48.0,59,1,0.0,0.0,7.811163385025278,0.6931471805599453,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2025-03,2025-02,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2495.0,48.0,59,1,0.0,0.0,7.822444729489318,0.6931471805599453,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2025-05,2025-02,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2556.0,48.0,59,1,0.0,0.0,7.846589975291186,0.6931471805599453,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2025-06,2025-02,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2587.0,57.0,68,1,0.0,0.0,7.858640655620791,0.6931471805599453,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2025-07,2025-02,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2617.0,57.0,68,3,0.0,0.0,7.870165946469845,1.3862943611198906,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2025-08,2025-02,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2648.0,57.0,68,3,0.0,0.0,7.88193748927207,1.3862943611198906,0.0,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,2025-03,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,6573.0,2936,3,12.0,0.0,0.0,1.3862943611198906,2.5649493574615367,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,10,2.3978952727983707,1,0,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
