dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.529255319148936,1.06262587049813,0.590358314115153,0.867147699420236,0.34884627159083,2.84209052561109,6.78725604489432,17487.1329787234,width20_80_139,post_hoc_exploratory_sensitivity,20,100-119,100,120,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_100_119_full_paper_ncloc_calendar_month_all
treatment,844,100,0.678909952606635,1.70627472423744,1.09614580245735,1.40937914458065,0.364657012679035,3.3907790093758,8.05450751245183,99249.2168246446,width20_80_139,post_hoc_exploratory_sensitivity,20,100-119,100,120,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_100_119_full_paper_ncloc_calendar_month_all
