dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.444148936170213,0.76874843693855,0.408132277947501,0.598561462576642,0.363892409663262,2.84209052561109,6.78725604489432,17487.1329787234,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
treatment,844,100,0.613744075829384,1.29625048852229,0.8177535040637,1.01149492403096,0.406628265905914,3.3907790093758,8.05450751245183,99249.2168246446,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
