outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
log1p_function_change_events,Total Function-Change Events (log1p),5,-0.162373327899539,-0.707522275902729,0.382775620103651,0.278137218368975,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),6,0.179096943344758,-0.633404478665471,0.991598365354988,0.414541541841954,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-6,0.0306905954368648,-0.272938120325054,0.334319311198784,0.154912610082612,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-5,-0.0221408223248776,-0.325962974277849,0.281681329628094,0.155011302016822,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-4,-0.19023846109903,-0.442791096434133,0.0623141742360734,0.128853385375053,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-3,-0.0382680615465151,-0.262809531281443,0.186273408188413,0.114561974354555,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-2,0.133151895790249,-0.109160837206892,0.37546462878739,0.123628945406705,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),0,0.242066227829448,0.00401437700839086,0.480118078650505,0.121455025929111,,TRUE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),1,0.200306655636438,-0.0884370588192691,0.489050370092144,0.147318221661075,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),2,-0.0853843179130122,-0.404579683102236,0.233811047276211,0.162854778157767,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),3,-0.203082404022491,-0.614409864032028,0.208245055987047,0.209860948984458,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),4,-0.187626746273616,-0.58147356055043,0.206220068003199,0.200942252182048,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),5,-0.0950281267234453,-0.551077704099612,0.361021450652721,0.232678355804166,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),6,0.282009126832676,-0.369918619438092,0.933936873103444,0.332616197076922,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-6,0.126415817993238,-0.215274240936344,0.46810587692282,0.174331662719174,,FALSE,100-109,100,110,bounded_band,full,paper,calendar_month,all,strict_band_100_109_full_paper_ncloc_calendar_month_all
