,repo_name,file_path,file_url,,alt_repo_name,alt_file_path,alt_file_url
1,helixml/helix,.cursor/rules/helix.mdc,https://github.com/helixml/helix/blob/25b3c9d797f764ce05c71282d9cac6a8336d531c/.cursor/rules/helix.mdc,,,,
2,OneKeyHQ/app-monorepo,.cursor/rules/clean-unused-import.mdc,https://github.com/OneKeyHQ/app-monorepo/blob/1c5d5f87f5fb55c2ae3502146afa28f0e03892a5/.cursor/rules/clean-unused-import.mdc,,,,
3,Qwertic/cursorrules,rules/unity-cursor-ai-c-cursorrules-prompt-file/.cursorrules,https://github.com/Qwertic/cursorrules/blob/cd412562041fdd096bd706462c588a4ae1f69a9b/rules/unity-cursor-ai-c-cursorrules-prompt-file/.cursorrules,,,,
4,brandon-schabel/octoprompt,.cursor/rules/project-overview.mdc,https://github.com/brandon-schabel/octoprompt/blob/0b60e20381a183d0cd5cb757c9c3af099ea83aa2/.cursor/rules/project-overview.mdc,,,,
5,grafana/faro-flutter-sdk,.cursor/rules/faro-protocol.mdc,https://github.com/grafana/faro-flutter-sdk/blob/dc103cd8804b6fcbf934a3fdd04609b8ef9cae7e/.cursor/rules/faro-protocol.mdc,,,,
6,ghuntley/ghuntley,.cursor/rules/nix-store-operations.mdc,https://github.com/ghuntley/ghuntley/blob/a1530b8089f0d59d3729394ab02ac342b48c92c9/.cursor/rules/nix-store-operations.mdc,,,,
7,olyaiy/resume-lm,.cursorrules,https://github.com/olyaiy/resume-lm/blob/fa3dc8c032922c61523ced5b440d8b8a6b959650/.cursorrules,,,,
8,waynesutton/promptstack,.cursor/rules/.cursorrules,https://github.com/waynesutton/promptstack/blob/3f52b848c20ade2b67d37925b3c900fdd5d6c37b/.cursor/rules/.cursorrules,,,,
9,ba-archive/blue-archive,.cursor/rules/vue-components.mdc,https://github.com/ba-archive/blue-archive/blob/61c73cdde62908b5330ce494dc5aec1d9d53cc94/.cursor/rules/vue-components.mdc,,,,
10,wandb/mcp-server,.cursor/rules/package_management.mdc,https://github.com/wandb/mcp-server/blob/dba08de961d4c7f91ffc24098ccd8190fed86834/.cursor/rules/package_management.mdc,,,,
11,ghuntley/ghuntley,.cursor/rules/depot-buildgo.mdc,https://github.com/ghuntley/ghuntley/blob/a1530b8089f0d59d3729394ab02ac342b48c92c9/.cursor/rules/depot-buildgo.mdc,,,,
12,jlcases/paelladoc,.cursor/rules/templates/Product/04_product_definition.md,https://github.com/jlcases/paelladoc/blob/02e99aeff4e01e3f04322edc7011730eb7b3860c/.cursor/rules/templates/Product/04_product_definition.md,not english,CodeGuide-dev/codeguide-starter-lite,.cursor/rules/best-practices.mdc,https://github.com/CodeGuide-dev/codeguide-starter-lite/blob/a672d127269b1d4f7b4a552cf6e6e655a37125f7/.cursor/rules/best-practices.mdc
13,level09/enferno,.cursor/rules/python-standards.mdc,https://github.com/level09/enferno/blob/8568b202a009c82a2d52c6f78bb49d42ae06c654/.cursor/rules/python-standards.mdc,,,,
14,baotoq/micro-commerce,code/.cursorrules,https://github.com/baotoq/micro-commerce/blob/4181087d858057492a760245862d195dfc17a2f5/code/.cursorrules,,,,
15,waynesutton/promptstack,.cursor/rules/convexrules.mdc,https://github.com/waynesutton/promptstack/blob/3f52b848c20ade2b67d37925b3c900fdd5d6c37b/.cursor/rules/convexrules.mdc,,,,
16,loning/universe,.cursor/rules/new_formal_theory.mdc,https://github.com/loning/universe/blob/ea87b6b2ebaa7fdfad3760f57c2a3cb5002f740c/.cursor/rules/new_formal_theory.mdc,not english,raphaelmansuy/code2prompt,.cursorrules,https://github.com/raphaelmansuy/code2prompt/blob/699eae91a5bf67dc5ab6df23fd1b2c665eb20034/.cursorrules
17,instructor-ai/instructor,.cursor/rules/readme.md,https://github.com/instructor-ai/instructor/blob/e43df1269593925ee622feebe89c30a4b758bd7d/.cursor/rules/readme.md,not cursor rule (instructional doc),metaskills/experts,.cursorrules,https://github.com/metaskills/experts/blob/50ccd739b655ec4c06567561294a86b7bfbb9d75/.cursorrules
18,Qwertic/cursorrules,rules/go-backend-scalability-cursorrules-prompt-file/.cursorrules,https://github.com/Qwertic/cursorrules/blob/cd412562041fdd096bd706462c588a4ae1f69a9b/rules/go-backend-scalability-cursorrules-prompt-file/.cursorrules,,,,
19,q1226189767/FlyAdmin,.cursorrules,https://github.com/q1226189767/FlyAdmin/blob/82a2622afc93d121d3458e9911bce527599e71e3/.cursorrules,not english,ohcnetwork/care_fe,.cursorrules,https://github.com/ohcnetwork/care_fe/blob/a125da086e34e166f18c012144097ebd25a67d9f/.cursorrules
20,rcmdnk/dotfiles,.cursor/settings.json,https://github.com/rcmdnk/dotfiles/blob/045b38a2bf4b9bb4be0552c9e2068c22cd6b2c89/.cursor/settings.json,not cursor rule (json),dotnet9/CodeWF,.cursor/rules/blazor.mdc,https://github.com/dotnet9/CodeWF/blob/ed0c7f17b8bfb7f9c226569c5977edc8b139cf5a/.cursor/rules/blazor.mdc
21,Qwertic/cursorrules,rules/github-cursorrules-prompt-file-instructions/.cursorrules,https://github.com/Qwertic/cursorrules/blob/cd412562041fdd096bd706462c588a4ae1f69a9b/rules/github-cursorrules-prompt-file-instructions/.cursorrules,,,,
22,gotray/go-python,.cursorrules,https://github.com/gotray/go-python/blob/6799816524073505aa8690c567e0bf9e6b53ff8b/.cursorrules,,,,
23,mckaywrigley/o1-pro-template-system,.cursor/rules/frontend.mdc,https://github.com/mckaywrigley/o1-pro-template-system/blob/7fc3a2ea91cf72c7d7b5d9241c002247d9901360/.cursor/rules/frontend.mdc,,,,
24,maybe-finance/maybe,.cursor/rules/general-rules.mdc,https://github.com/maybe-finance/maybe/blob/dc17a0a2983aed47bae17e518b7ce34ff24fe3f2/.cursor/rules/general-rules.mdc,,,,
25,alchaincyf/cursor-rules-huasheng,rules/网站-Vue/.cursorrules,https://github.com/alchaincyf/cursor-rules-huasheng/blob/816781f7314ab55a58099c0e4e0ecd9504a67ec9/rules/%E7%BD%91%E7%AB%99-Vue/.cursorrules,not english,langfuse/langfuse,.cursor/rules/frontend-features.mdc,https://github.com/langfuse/langfuse/blob/7faf0e009ff3a9be1a220573c473b799a1cea9c6/.cursor/rules/frontend-features.mdc
26,mckaywrigley/level-3-agent-code,.cursorrules,https://github.com/mckaywrigley/level-3-agent-code/blob/9d3c1e203ed4a201467dd6e3521047e304d7fdf9/.cursorrules,,,,
27,alchaincyf/cursor-rules-huasheng,.cursor-rules/网站-Vue/.cursorrules,https://github.com/alchaincyf/cursor-rules-huasheng/blob/816781f7314ab55a58099c0e4e0ecd9504a67ec9/.cursor-rules/%E7%BD%91%E7%AB%99-Vue/.cursorrules,not engligh,different-ai/note-companion,.cursorrules,https://github.com/different-ai/note-companion/blob/ee348a83eb855f4e568c49c92874dd4aa37d9a03/.cursorrules
28,Anemll/Anemll,.cursor/rules,https://github.com/Anemll/Anemll/blob/d3b2e3660c0657ab643b68a0513b4b5ab443c04c/.cursor/rules,,,,
29,alchaincyf/cursor-rules-huasheng,.cursor-rules/网站-Nextjs/.cursorrules,https://github.com/alchaincyf/cursor-rules-huasheng/blob/816781f7314ab55a58099c0e4e0ecd9504a67ec9/.cursor-rules/%E7%BD%91%E7%AB%99-Nextjs/.cursorrules,not english,cuongtl1992/mcp-dbs,.cursor/rules/esm-imports.mdc,https://github.com/cuongtl1992/mcp-dbs/blob/7fa3e2807101abdffefea8ce2ce1880547976279/.cursor/rules/esm-imports.mdc
30,cool-team-official/cool-admin-midway,.cursor/rules/service.mdc,https://github.com/cool-team-official/cool-admin-midway/blob/943b8f026df2c5e88ed669a413eddc6b470924b4/.cursor/rules/service.mdc,not english,WangQrkkk/ThinkingCursor,.cursorrules,https://github.com/WangQrkkk/ThinkingCursor/blob/7f8188043c7738cb880294ed2f34b4c45303d0f5/.cursorrules
31,PatrickJS/awesome-cursorrules,rules/typescript-nodejs-nextjs-react-ui-css-cursorrules-/.cursorrules,https://github.com/PatrickJS/awesome-cursorrules/blob/7e4db830d65c8951463863dd25cc39b038d34e02/rules/typescript-nodejs-nextjs-react-ui-css-cursorrules-/.cursorrules,,,,
32,elbwalker/walkerOS,.cursor/rules/01-core.rule,https://github.com/elbwalker/walkerOS/blob/d55ec09ffa58d25f4ae3cce1af203828f2104bb5/.cursor/rules/01-core.rule,,,,
33,PatrickJS/awesome-cursorrules,rules/react-typescript-nextjs-nodejs-cursorrules-prompt-/.cursorrules,https://github.com/PatrickJS/awesome-cursorrules/blob/7e4db830d65c8951463863dd25cc39b038d34e02/rules/react-typescript-nextjs-nodejs-cursorrules-prompt-/.cursorrules,,,,
34,dotabod/frontend,.cursor/rules/typescript-best-practices.mdc,https://github.com/dotabod/frontend/blob/821b12b8eab4c92a7ad60c4688ff4dae0dc7201c/.cursor/rules/typescript-best-practices.mdc,,,,
35,GaloyMoney/lana-bank,.cursor/rules/general.mdc,https://github.com/GaloyMoney/lana-bank/blob/f626477707d4567654437e0207d4156273726d0a/.cursor/rules/general.mdc,,,,
