dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.445478723404255,0.746473115274788,0.365804494862934,0.598497548003291,0.321560918761937,2.84209052561109,6.78725604489432,17487.1329787234,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
treatment,844,100,0.626777251184834,1.28775850606585,0.720874674617476,1.05670911219972,0.337468381499563,3.3907790093758,8.05450751245183,99249.2168246446,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
