outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
has_function_change_event,Any Function-Change Event,-6,-0.101766771499868,-0.244116012484141,0.0405824694844046,0.0726271637674862,,FALSE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-5,0.0605377502763691,-0.067909779862088,0.188985280414826,0.065534454152274,,FALSE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-4,0.0236883380874553,-0.126299298296329,0.173675974471239,0.0765243042774409,,FALSE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-3,-0.0151105230483062,-0.172900976050531,0.142679929953919,0.0805053331644007,,FALSE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-2,0.0880818752641119,-0.0550361102573754,0.231199860785599,0.0730193803681058,,FALSE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,0,0.0341387714880857,-0.0881624069459512,0.156439949922123,0.062398560425529,,FALSE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,1,0.128798768592408,-0.0130555166238974,0.270653053808713,0.0723746353144414,,FALSE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,2,0.0446399455807005,-0.111114332971331,0.200394224132732,0.0794664686489955,,FALSE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,3,-0.0225272972457467,-0.18907612169305,0.144021527201556,0.0849738900241342,,FALSE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,4,-0.182934631010787,-0.349659967878918,-0.0162092941426551,0.0850639473816998,,TRUE,110-119,110,120,bounded_band,full,paper,calendar_month,all,strict_band_110_119_full_paper_ncloc_calendar_month_all
