dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,368,86,1,2.15027694764604,1.44690221495016,1.60271951218015,0.462728718826195,3.38746353590628,8.39797819775128,19051.4891304348,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
treatment,571,92,1,2.5935850545923,1.90850249762722,1.96275317024378,0.487716603016227,3.97148638873659,9.13707458140474,140962.746059545,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
