outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-6,0.00117089634944281,-0.111695828392375,0.114037621091261,0.0575850636437845,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-5,-0.0664300949117679,-0.202876140738491,0.0700159509149552,0.0696153295034302,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-4,-0.0202245679600416,-0.189020225853087,0.148571089933004,0.0861202336189009,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-3,-0.0820470330985413,-0.215813259697401,0.0517191935003181,0.0682480747953364,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-2,-0.0212692704319913,-0.154121272018193,0.11158273115421,0.0677816334623476,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,0,0.0433616301744395,-0.0575727217610963,0.144295982109975,0.051497118334457,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,1,-0.013174879215995,-0.123462118463066,0.0971123600310764,0.0562689996158528,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,2,-0.127409718950225,-0.260333824954671,0.00551438705422103,0.0678184214308399,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,3,-0.0222782045726622,-0.170269051944107,0.125712642798783,0.0755055343731863,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,4,-0.0708680511753621,-0.202293244353326,0.0605571420026019,0.0670536699887571,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,5,0.0284791221675754,-0.0949215134010256,0.151879757736177,0.0629595079431638,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,6,0.0658104819349701,-0.0828767238048861,0.214497687674826,0.0758608192550286,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_80_99_ratio_paper_ncloc_calendar_month_all
