dataset_source,rows,repositories,mean_has_npr_scored_function_change_event,mean_log1p_npr_scored_function_change_events,mean_log1p_npr_agc_function_change_events,mean_log1p_npr_hwc_function_change_events,mean_npr_agc_function_change_event_ratio,mean_ncloc
treatment,589,95,1,3.32881329626449,1.54157370422596,3.14672598048259,0.157788451348853,119230.475382003
control,451,95,1,2.59829440965875,0.943299702332349,2.45643556393799,0.131438330692211,18604.1485587583
