time_to_event,total_rows,primary_ratio_rows,primary_ratio_missing_rows,primary_ratio_availability_rate,changed_top_level_blocks
-14,14,0,14,0,0
-13,18,13,5,0.722222222222222,1252
-12,20,17,3,0.85,5801
-11,21,17,4,0.80952380952381,5585
-10,22,17,5,0.772727272727273,5211
-9,30,22,8,0.733333333333333,4786
-8,31,23,8,0.741935483870968,4483
-7,31,24,7,0.774193548387097,5377
-6,31,21,10,0.67741935483871,4869
-5,33,27,6,0.818181818181818,4342
-4,35,31,4,0.885714285714286,4354
-3,40,33,7,0.825,4231
-2,42,34,8,0.80952380952381,4972
-1,53,35,18,0.660377358490566,5363
0,100,56,44,0.56,8359
1,71,59,12,0.830985915492958,8141
2,60,47,13,0.783333333333333,7773
3,59,45,14,0.76271186440678,7010
4,55,43,12,0.781818181818182,8909
5,48,38,10,0.791666666666667,11799
6,18,15,3,0.833333333333333,7326
7,9,9,0,1,784
8,5,5,0,1,678
9,3,3,0,1,192
10,3,3,0,1,516
11,1,1,0,1,55
