outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,specification,specification_label,ncloc_column,role,sample_rows,sample_repositories,first_stage_formula,estimate_percentage_points,conf_low_percentage_points,conf_high_percentage_points
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-2,0.015284510357946,-0.0363381081482389,0.0669071288641309,0.0263380706664209,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,1.5284510357946,-3.63381081482389,6.69071288641309
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,0,0.0395451030495725,-0.0351450926360623,0.114235298735207,0.0381072426967524,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,3.95451030495725,-3.51450926360623,11.4235298735207
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,1,-0.0127760661115246,-0.0664327252680116,0.0408805930449624,0.0273758465084117,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.27760661115246,-6.64327252680116,4.08805930449624
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,2,-0.046502863778509,-0.105013490771317,0.0120077632142988,0.0298523607106162,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-4.6502863778509,-10.5013490771317,1.20077632142988
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,3,-0.0125995801554296,-0.0611341798887134,0.0359350195778542,0.0247625508843285,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.25995801554296,-6.11341798887134,3.59350195778542
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,4,-0.0260065226939235,-0.0957142431908862,0.0437011978030393,0.0355651635188586,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-2.60065226939235,-9.57142431908862,4.37011978030393
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,5,-0.0622404376749524,-0.111148242457736,-0.0133326328921689,0.0249529616238691,,TRUE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-6.22404376749524,-11.1148242457736,-1.33326328921689
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,6,-0.0475944669804277,-0.152417739839039,0.0572288058781835,0.0534812616625567,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-4.75944669804277,-15.2417739839039,5.72288058781835
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-6,-0.0283757281373119,-0.0675249356419957,0.0107734793673719,0.0199740854615734,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-2.83757281373119,-6.75249356419957,1.07734793673719
agc_changed_top_level_block_ratio,AGC-Like Changed Top-Level Block Share,-5,-0.0185324539278111,-0.0640215991359646,0.0269566912803424,0.0232087475551804,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.85324539278111,-6.40215991359646,2.69566912803424
