outcome,term,estimate,std_error,conf_low,conf_high,p_value,note,panel,specification,specification_label,ncloc_column,outcome_label,role,sample_rows,sample_repositories,first_stage_formula,estimate_percentage_points,conf_low_percentage_points,conf_high_percentage_points
agc_changed_top_level_block_ratio,treat,-0.0137437191533871,0.0199733398490937,-0.0528914652576107,0.0254040269508365,,Borusyak static treatment effect,strict,unadjusted,Unadjusted,none,AGC-Like Changed Top-Level Block Share,primary,1123,166,~1 | repo_id + time_id,-1.37437191533871,-5.28914652576107,2.54040269508365
agc_changed_top_level_block_ratio,treat,-0.0150450591829516,0.0201782939962544,-0.0545945154156101,0.024504397049707,,Borusyak static treatment effect,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,AGC-Like Changed Top-Level Block Share,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.50450591829516,-5.45945154156101,2.4504397049707
agc_changed_top_level_block_ratio,treat,-0.0140709033659051,0.0201275139340393,-0.0535208306766222,0.0253790239448119,,Borusyak static treatment effect,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,AGC-Like Changed Top-Level Block Share,primary,1123,166,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.40709033659051,-5.35208306766222,2.53790239448119
agc_changed_function_block_ratio,treat,-0.0179879480832925,0.0240546908737434,-0.0651351421958296,0.0291592460292446,,Borusyak static treatment effect,strict,unadjusted,Unadjusted,none,AGC-Like Changed Function Block Share,robustness,1016,158,~1 | repo_id + time_id,-1.79879480832925,-6.51351421958296,2.91592460292446
agc_changed_function_block_ratio,treat,-0.0100514756638717,0.0273970966986937,-0.0637497851933113,0.043646833865568,,Borusyak static treatment effect,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,AGC-Like Changed Function Block Share,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.00514756638717,-6.37497851933113,4.3646833865568
agc_changed_function_block_ratio,treat,-0.0135112626553504,0.0249737215466629,-0.0624597568868096,0.0354372315761089,,Borusyak static treatment effect,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,AGC-Like Changed Function Block Share,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.35112626553504,-6.24597568868096,3.54372315761089
agc_changed_class_block_ratio,treat,0.00388422966432864,0.026047372655718,-0.0471686207408787,0.054937080069536,,Borusyak static treatment effect,strict,unadjusted,Unadjusted,none,AGC-Like Changed Class Block Share,robustness,990,148,~1 | repo_id + time_id,0.388422966432864,-4.71686207408787,5.4937080069536
agc_changed_class_block_ratio,treat,-0.00682936901103618,0.021605154741152,-0.0491754723036942,0.0355167342816218,,Borusyak static treatment effect,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,AGC-Like Changed Class Block Share,robustness,990,148,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-0.682936901103618,-4.91754723036942,3.55167342816218
agc_changed_class_block_ratio,treat,-0.00703307029005045,0.0215574360025193,-0.0492856448549882,0.0352195042748873,,Borusyak static treatment effect,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,AGC-Like Changed Class Block Share,robustness,990,148,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-0.703307029005045,-4.92856448549882,3.52195042748873
