dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.428191489361702,0.6930996937265,0.244125583387296,0.60822648775851,0.203782681014212,2.84209052561109,6.78725604489432,17487.1329787234,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
treatment,844,100,0.622037914691943,1.25812715173869,0.545189503198861,1.11458827988986,0.230392391558479,3.3907790093758,8.05450751245183,99249.2168246446,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
