outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
has_function_change_event,Any Function-Change Event,-6,-0.0228499766846018,-0.190089219407147,0.144389266037943,0.0853261442461964,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-5,0.0856308103062878,-0.048383514711582,0.219645135324158,0.0683746556213622,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-4,-0.00047903938168115,-0.164784009689694,0.163825930926332,0.08382906648368,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-3,-0.00481791662226039,-0.173064687097445,0.163428853852924,0.0858401890179512,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-2,0.0254280463825438,-0.112929857741577,0.163785950506664,0.0705907674102655,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,0,0.159725899919896,0.026988745647823,0.292463054191968,0.0677230378939147,,TRUE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,1,0.131031639243237,-0.00695000800957329,0.269013286496047,0.0703987996187807,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,2,0.0340047629449903,-0.118041282718408,0.186050808608389,0.0775745130935708,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,3,0.0110799208344418,-0.161124632004941,0.183284473673825,0.0878594657343791,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,4,0.00475699320170388,-0.163572022800103,0.173086009203511,0.0858821510213303,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,5,-0.0428309296216218,-0.214873762080603,0.129211902837359,0.0877769553362147,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,6,0.00733500387435155,-0.20373239718828,0.218402404936983,0.107687449521751,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-6,0.155767777846828,-0.220287315874575,0.53182287156823,0.191864843735409,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-5,-0.0135106354246276,-0.251907436945097,0.224886166095841,0.121631021183913,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-4,-0.0711732245822463,-0.36854869539911,0.226202246234618,0.151722178988196,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-3,-0.16086411389979,-0.383341717095787,0.0616134892962064,0.113508981222447,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-2,-0.0874685600462066,-0.338935676763391,0.163998556670978,0.128299549345502,,FALSE,140-149,140,150,bounded_band,full,paper,calendar_month,all,strict_band_140_149_full_paper_ncloc_calendar_month_all
