dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_ncloc
control,712,117,0.745786516853933,2.77772988094726,1.75032977576678,2.58167476258242,0.231103587499847,17523.2949438202
treatment,787,100,0.833545108005083,3.80984303147556,2.59818449324529,3.57626114584136,0.23738888210822,91506.1194409149
