outcome,term,estimate,std_error,conf_low,conf_high,p_value,note,outcome_label,panel,sample_type,ncloc_spec,time_mode,parse_exclusion_mode
has_function_change_event,treat,-0.0235332608951512,0.050932091284091,-0.12336015981197,0.0762936380216672,,Borusyak static treatment effect,Any Function-Change Event,strict_full_paper_ncloc_calendar_month_parse_clean,full,paper,calendar_month,parse_clean
log1p_function_change_events,treat,0.195784145687737,0.256322595522926,-0.306608141537199,0.698176432912672,,Borusyak static treatment effect,Total Function-Change Events (log1p),strict_full_paper_ncloc_calendar_month_parse_clean,full,paper,calendar_month,parse_clean
log1p_agc_function_change_events,treat,0.157841817356632,0.224439690670765,-0.282059976358068,0.597743611071332,,Borusyak static treatment effect,AGC-Like Function-Change Events (log1p),strict_full_paper_ncloc_calendar_month_parse_clean,full,paper,calendar_month,parse_clean
log1p_hwc_function_change_events,treat,0.209225979269759,0.242736533155262,-0.266537625714554,0.684989584254073,,Borusyak static treatment effect,HWC-Like Function-Change Events (log1p),strict_full_paper_ncloc_calendar_month_parse_clean,full,paper,calendar_month,parse_clean
