dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,335,80,1,1.6756650229452,0.821149194438586,1.34349300327903,0.321560918761937,3.45369876352783,8.43474542483459,20662.3671641791,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
treatment,529,86,1,2.05457122706914,1.1501289704672,1.68594043609937,0.337468381499563,4.04880409104932,9.24773839900903,150676.423440454,110-119,110,120,bounded_band,ratio,paper,calendar_month,all,strict_band_110_119_ratio_paper_ncloc_calendar_month_all
