outcome,outcome_label,event_time,term,term_type,estimate,std.error,conf.low,conf.high,p_value,significant,exp_coefficient_change_pct,exp_ci_low_pct,exp_ci_high_pct,support_rows,support_repositories,ci_includes_zero,percent_interpretation
log_commits,Commits,-6,-6,placebo_pretrend,0.00509154023994715,0.109545587413125,-0.209613865755063,0.219796946234957,0.962928683417049,FALSE,0.510452415764817,-18.9102699257343,24.5823735702354,43,43,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,-5,-5,placebo_pretrend,-0.0823749209637512,0.108440784284407,-0.294914952616466,0.130165110688964,0.447475516902571,FALSE,-7.90733807327417,-25.5405089377922,13.9016431587566,45,45,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,-4,-4,placebo_pretrend,-0.112932661344294,0.106224090046538,-0.321128052126048,0.0952627294374597,0.28771171316107,FALSE,-10.678919429415,-27.4669635052178,9.99478058347743,45,45,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,-3,-3,placebo_pretrend,0.0961744604546035,0.12304642130884,-0.144992093737265,0.337341014646472,0.434443105405212,FALSE,10.0951119673266,-13.4970867768702,40.121681773108,49,49,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,-2,-2,placebo_pretrend,0.0903800658740195,0.093632250479282,-0.0931357728568064,0.273895904604845,0.334411393685879,FALSE,9.45902210474643,-8.89302066502853,31.5077901559661,52,52,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,0,0,post_treatment,0.352737894945487,0.113260801754745,0.130750802646056,0.574724987244918,0.00184327952899891,TRUE,42.2958130033146,13.9683739749978,77.6641860549513,62,62,FALSE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,1,1,post_treatment,0.31261711903933,0.138062529090058,0.0420195344083029,0.583214703670357,0.0235547193988273,TRUE,36.6998033295121,4.291485127631,79.1789253692045,59,59,FALSE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,2,2,post_treatment,-0.026008496015414,0.138966876061695,-0.298378568140377,0.246361576109549,0.851538258031431,FALSE,-2.56731883220256,-25.7979618705698,27.9362076684048,56,56,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,3,3,post_treatment,-0.0987174916605074,0.151732480874888,-0.396107689460201,0.198672706139186,0.5153032851991,FALSE,-9.4001375960498,-32.7065775888115,21.978267317995,54,54,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,4,4,post_treatment,-0.130578081375897,0.172266155693852,-0.468213542291017,0.207057379539224,0.448449817303562,FALSE,-12.241203300246,-37.3880193676982,23.0053149638818,52,52,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,5,5,post_treatment,-0.136598396719826,0.164414437869764,-0.458844773482961,0.185647980043309,0.406076719590517,FALSE,-12.7679517437504,-36.7986657484496,20.3998354321767,40,40,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_commits,Commits,6,6,post_treatment,-0.467455045474059,0.225593929190903,-0.909611021819107,-0.0252990691290103,0.0382553456203614,TRUE,-37.340510364249,-59.7319172370218,-2.49817294449183,20,20,FALSE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,-6,-6,placebo_pretrend,0.126366182820426,0.293184326027517,-0.448264537025157,0.700996902666009,0.666459099304377,FALSE,13.4697598983717,-36.1264307559304,101.576122389458,43,43,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,-5,-5,placebo_pretrend,-0.0996536151269329,0.283933123034305,-0.656152310292152,0.456845080038286,0.725606609108151,FALSE,-9.48491056812608,-48.115615111775,57.908423363028,45,45,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,-4,-4,placebo_pretrend,0.112445989883762,0.289960310894607,-0.455865776415704,0.680757756183228,0.698165624631431,FALSE,11.9011817322295,-36.6101084426818,97.537401712495,45,45,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,-3,-3,placebo_pretrend,0.317121822409312,0.329578841943631,-0.328840837866624,0.963084482685248,0.335947532820346,FALSE,37.3169844595335,-28.0242434219417,161.976464264191,49,49,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,-2,-2,placebo_pretrend,0.373302928299133,0.24090172489357,-0.0988557763058402,0.845461632904106,0.121235942502697,FALSE,45.2524283904429,-9.41266529967504,132.905273381943,52,52,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,0,0,post_treatment,1.60361235102026,0.297612298749919,1.02030296411425,2.18692173792628,7.1143208129658e-08,TRUE,397.095687133241,177.403506974442,790.775047733032,62,62,FALSE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,1,1,post_treatment,1.06804220346557,0.364005701109265,0.354604139124163,1.78148026780698,0.00334477699939091,TRUE,190.967736372804,42.5616196889244,493.864069408374,59,59,FALSE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,2,2,post_treatment,0.701613483198845,0.335248479748857,0.0445385370192791,1.35868842937841,0.0363655561187041,TRUE,101.700448627038,4.55452681322501,289.108651880988,56,56,FALSE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,3,3,post_treatment,0.148519717626928,0.367991179595351,-0.57272974100837,0.869769176262227,0.686509928508404,FALSE,16.0115672276931,-43.6016194195203,138.635996142127,54,54,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,4,4,post_treatment,0.0573933405978196,0.436200090988395,-0.797543127792529,0.912329808988168,0.895319891959218,FALSE,5.90723046115182,-54.9565734803062,149.011727805555,52,52,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,5,5,post_treatment,0.111351387942573,0.380514518546095,-0.634443364002372,0.857146139887518,0.769802118830403,FALSE,11.7787614944223,-46.9769448399409,135.642617791642,40,40,TRUE,100*(exp(beta)-1) on the log1p outcome scale
log_lines_added,Lines Added,6,6,post_treatment,-0.48725061924316,0.467859668911919,-1.40423872012936,0.429737481643036,0.297668564679687,FALSE,-38.5686945022386,-75.4446079427155,53.6854018195067,20,20,TRUE,100*(exp(beta)-1) on the log1p outcome scale
