outcome,outcome_label,event_time,term,estimate,std.error,conf.low,conf.high,p_value,significant,ci_includes_zero,check_status,support_rows,support_repositories
log_commits,Commits,-6,-6,0.00509154023994715,0.109545587413125,-0.209613865755063,0.219796946234957,0.962928683417049,FALSE,TRUE,includes_zero,43,43
log_commits,Commits,-5,-5,-0.0823749209637512,0.108440784284407,-0.294914952616466,0.130165110688964,0.447475516902571,FALSE,TRUE,includes_zero,45,45
log_commits,Commits,-4,-4,-0.112932661344294,0.106224090046538,-0.321128052126048,0.0952627294374597,0.28771171316107,FALSE,TRUE,includes_zero,45,45
log_commits,Commits,-3,-3,0.0961744604546035,0.12304642130884,-0.144992093737265,0.337341014646472,0.434443105405212,FALSE,TRUE,includes_zero,49,49
log_commits,Commits,-2,-2,0.0903800658740195,0.093632250479282,-0.0931357728568064,0.273895904604845,0.334411393685879,FALSE,TRUE,includes_zero,52,52
log_lines_added,Lines Added,-6,-6,0.126366182820426,0.293184326027517,-0.448264537025157,0.700996902666009,0.666459099304377,FALSE,TRUE,includes_zero,43,43
log_lines_added,Lines Added,-5,-5,-0.0996536151269329,0.283933123034305,-0.656152310292152,0.456845080038286,0.725606609108151,FALSE,TRUE,includes_zero,45,45
log_lines_added,Lines Added,-4,-4,0.112445989883762,0.289960310894607,-0.455865776415704,0.680757756183228,0.698165624631431,FALSE,TRUE,includes_zero,45,45
log_lines_added,Lines Added,-3,-3,0.317121822409312,0.329578841943631,-0.328840837866624,0.963084482685248,0.335947532820346,FALSE,TRUE,includes_zero,49,49
log_lines_added,Lines Added,-2,-2,0.373302928299133,0.24090172489357,-0.0988557763058402,0.845461632904106,0.121235942502697,FALSE,TRUE,includes_zero,52,52
