repo_id,repo_name,time,time_index,event,event_index,time_to_event,event_time_normalized,absorbing_treated,legacy_cursor,legacy_cursor_flag,legacy_is_treatment,legacy_post_event,mismatch_cursor,mismatch_is_treatment,mismatch_post_event,scope_role,treatment_group
99,LearningCircuit/local-deep-research,2025-04,16,2025-03,15,1,1,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
99,LearningCircuit/local-deep-research,2025-05,17,2025-03,15,2,2,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
99,LearningCircuit/local-deep-research,2025-06,18,2025-03,15,3,3,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
99,LearningCircuit/local-deep-research,2025-07,19,2025-03,15,4,4,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
99,LearningCircuit/local-deep-research,2025-08,20,2025-03,15,5,5,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
10,allthingslinux/tux,2025-07,19,2025-02,14,5,5,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
10,allthingslinux/tux,2025-08,20,2025-02,14,6,6,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
214,whiteducksoftware/flock,2025-05,17,2025-03,15,2,2,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
214,whiteducksoftware/flock,2025-06,18,2025-03,15,3,3,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
214,whiteducksoftware/flock,2025-07,19,2025-03,15,4,4,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
214,whiteducksoftware/flock,2025-08,20,2025-03,15,5,5,1,FALSE,0,0,0,TRUE,TRUE,TRUE,treatment,1
