dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,322,80,1,1.61866760770909,0.570131797227474,1.42045440619379,0.203782681014212,3.49262044040741,8.47382849086772,23307.5590062112,140-149,140,150,bounded_band,ratio,paper,calendar_month,all,strict_band_140_149_ratio_paper_ncloc_calendar_month_all
treatment,525,88,1,2.02258917346182,0.876457029904454,1.79183334900389,0.230392391558479,4.06317565835759,9.27866693982054,151540.392380952,140-149,140,150,bounded_band,ratio,paper,calendar_month,all,strict_band_140_149_ratio_paper_ncloc_calendar_month_all
