comparison,count,repos
paper_treatment_minus_main_treatment,61,0xAquaWolf/portfolio;0xsend/sendapp;CopilotKit/open-multi-agent-canvas;DA0-DA0/dao-dao-ui;GaloyMoney/lana-bank;IndieYe/sqlwise;Just-Understanding-Data-Ltd/ai-coding-with-cursor;LIT-Protocol/developer-guides-code;Shpigford/society-fail;alexander-turner/TurnTrout.com;andrewhopper/dotai;antiwork/helper;antiwork/iffy;autonomys/astral;badass-courses/course-builder;ballerine-io/ballerine;bitcashorg/smartsale;brandon-schabel/octoprompt;buster-so/buster;christophebe/julius-gpt;daangn/seed-design;dalenguyen/dalenguyen.github.io;daytimedrinkingclub/shipstation;ditto-assistant/ditto-app;dustland/agentok;f/awesome-chatgpt-prompts;f3liiix/nav-site;getgrinta/grinta;ghostlexly/ultimate-typescript-starter-kit;gly-hub/dandelion-admin;hackclub/print-legion;ham2k/app-polo;haydenbleasel/next-forge;konecty/Konecty;latechforce/engine;mayneyao/eidos;mazeincoding/Mazeway;module-federation/core;notional-finance/notional-monorepo;novuhq/novu;oaknational/oak-ai-lesson-assistant;one-ie/one;openintegrations/openint;openshiporg/openfront;pAIrprogio/oai;paramountric/digitaltwincityviewer;paulboguta/alternativeoss;piotrkulpinski/openalternative;pockethost/pockethost;radzionc/radzionkit;rivet-gg/actor-core;stolinski/drop-in;timothywarner/ai900;tweneboah/youtube-tutorials-projects;typefully/minimal-twitter;udecode/plate;wakeyi-git/obsidian-card-navigator-plugin;yenche123/liubai;yuiseki/TRIDENT;zueai/cloudflare-api-mcp;zueai/create-mcp
main_treatment_minus_strict_treatment,43,0xfrankz/Kaas;AnEntrypoint/apptoapp;Bistutu/FluentRead;KaizeNodeLabs/SafeSwap;LastBotInc/nextjs-supabase-ai-webapp;Ly-GGboy/AI-Library;MaggieAppleton/lodestone;Malte2036/thw-tools;Melvynx/next-zod-route;Shopify/cli;ahmedkhaleel2004/gitdiagram;ai-hero-dev/ai-hero;betagouv/france-chaleur-urbaine;ccbikai/github-stars;constROD/template-hono-prisma-kysely;fatwang2/search1api-mcp;frostime/sy-f-misc;genesis-ai-dev/codex-editor;howoii/SmartBookmark;johanguse/next-saas-template;jonathanbertholet/promptmanager;kazuph/mcp-screenshot;kelvin6365/rocksdev.tools;latitude-dev/latitude-llm;leemonade/leemons;magebitcom/magento-toolbox;metriport/metriport;milaboratory/platforma;mzxrai/mcp-openai;omnisat/lasereyes-mono;opentoolsteam/cli;pnd280/complexity;pollinations/pollinations;q1226189767/FlyAdmin;sadmann7/shadcn-table;serge-0v/next-js-sanity-starter;social-embed/social-embed;stacksjs/vite-plugin-local;unsend-dev/unsend;webdevcody/survive-the-night-game;wham/kaja;yayxs/ai-coding;zzfn/zzf
main_control_minus_strict_control,39,59de44955ebd/twitter-to-bsky;AjayiMike/extrascan;Amogh2409/Pregrad-MERN-Data;AnshSinghal/DHARA.github.io;Convertiv/handoff-app;DonTaka/Mobile2024;Donald-Ennis/Jsrepo_jp;FrancescoXX/rustcrab;GlobalArtInc/nestcord;Mapform/Mapform;OpenWebGAL/WebGAL;acutmore/proposal-composites;ajaynegi45/LibraryMan;ajcwebdev/autoshow;andreisergiu98/baeta;any-listen/any-listen;aukilabs/posemesh;checkerschaf/sherlock-deno;codebucks27/AI-Powered-Twitter-Bio-Generator;craigsdennis/shorty-dot-dev;damienallen/urban-heat;fwilhe2/setup-kotlin;hexnome/pumpfun-cli-bot-tools;jasperbaes/Conditional-Access-Matrix;lingualdev/react-i18n-transformations;mrgnlabs/mrgn-ts;pages-cms/pages-cms;patorjk/image-quilter;pmndrs/directed;pskill9/website-downloader;soulerror/HivisionIDPhotos-Uniapp;sst/sst;sunpm/unisave;tomquist/hame-relay;tsky-dev/tsky;walnuthq/op-scan;yaming116/docker-pull-proxy;yosle/xnauta-electron;zaidmukaddam/o3-mini-search
strict_treatment_minus_main_treatment,0,
strict_control_minus_main_control,0,
