dataset,pair_rows,treatment_repos,unique_control_repos,treatments_with_1_control,treatments_with_2_controls,treatments_with_3_controls,treatments_with_other_control_count,max_controls_per_treatment,mean_controls_per_treatment,max_treatments_per_control,mean_treatments_per_control
paper_matching_jsts_from_repos,1299,433,543,0,0,433,0,3,3.0,49,2.3922651933701657
paper_matching_for_our_jsts_sample,1152,384,480,0,0,384,0,3,3.0,44,2.4
our_main_final_clean_pairs,1103,384,450,4,41,339,0,3,2.8723958333333335,44,2.451111111111111
our_strict_1to3_pairs,1017,339,407,0,0,339,0,3,3.0,44,2.498771498771499
