source_group,repo_name,time,metric,row_overlap_status,commit_match_status,commit_equal_or_prefix,paper_latest_commit,our_latest_commit,paper_value,our_value,diff,abs_diff,ncloc_scope_status,cause_category
treatment,DataDog/integrations-core,2024-06,static_analysis_warnings,both,exact_match,True,40193a9e2b1b854a8f3b95dd0e7041259f22653d,40193a9e2b1b854a8f3b95dd0e7041259f22653d,3303.0,2245.0,-1058.0,1058.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-05,static_analysis_warnings,both,exact_match,True,970e957779bbea1ac84e41927e6e0bd9f118f7ba,970e957779bbea1ac84e41927e6e0bd9f118f7ba,3270.0,2219.0,-1051.0,1051.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-04,static_analysis_warnings,both,exact_match,True,6d0b7455cbbd6b6bfc4a6d2a4ad3345d7a3b31ec,6d0b7455cbbd6b6bfc4a6d2a4ad3345d7a3b31ec,3235.0,2198.0,-1037.0,1037.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-11,code_smells,both,exact_match,True,c08fd423affb8f7257d8fcb8e9a5afd869681415,c08fd423affb8f7257d8fcb8e9a5afd869681415,3108.0,2115.0,-993.0,993.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-01,code_smells,both,exact_match,True,82c4055486147402d96748c0abd63de6850e83d1,82c4055486147402d96748c0abd63de6850e83d1,3137.0,2148.0,-989.0,989.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-02,static_analysis_warnings,both,exact_match,True,1209aff535676d2788511da7ff82444c89640360,1209aff535676d2788511da7ff82444c89640360,3110.0,2122.0,-988.0,988.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-03,static_analysis_warnings,both,exact_match,True,de516ffa17050c785c973acb4fcbab0a92a4253b,de516ffa17050c785c973acb4fcbab0a92a4253b,3166.0,2178.0,-988.0,988.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-02,code_smells,both,exact_match,True,c3628b5ded79e88ab572dfd7bac6e5c1cd91f1d8,c3628b5ded79e88ab572dfd7bac6e5c1cd91f1d8,3125.0,2139.0,-986.0,986.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-01,static_analysis_warnings,both,exact_match,True,3f21b7bd08df0737cb477548d027a7a93f92f1ff,3f21b7bd08df0737cb477548d027a7a93f92f1ff,3125.0,2143.0,-982.0,982.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-09,code_smells,both,exact_match,True,c1e85309a37c7c508f41c365f3002708f77f8cbf,c1e85309a37c7c508f41c365f3002708f77f8cbf,3130.0,2149.0,-981.0,981.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-03,code_smells,both,exact_match,True,67cf3ad93e6873944bcdbd153c7305b03c2f51d4,67cf3ad93e6873944bcdbd153c7305b03c2f51d4,3142.0,2161.0,-981.0,981.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-12,code_smells,both,exact_match,True,e6b077a2f4e4526dc00261698d752e7481547e66,e6b077a2f4e4526dc00261698d752e7481547e66,3114.0,2140.0,-974.0,974.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-04,code_smells,both,exact_match,True,fe4697fca14149122b2d992e53f8a0396755ebff,fe4697fca14149122b2d992e53f8a0396755ebff,3142.0,2169.0,-973.0,973.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-05,code_smells,both,exact_match,True,1c924825332db0360a98ffc39e7c9d87618d66aa,1c924825332db0360a98ffc39e7c9d87618d66aa,3166.0,2200.0,-966.0,966.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-07,code_smells,both,exact_match,True,26abd13d37aca13903e1cf8e64b1f0f0959630f6,26abd13d37aca13903e1cf8e64b1f0f0959630f6,3200.0,2238.0,-962.0,962.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-06,code_smells,both,exact_match,True,f9f78ed17fce4bcd63e24aaa39a9e47dddbd7f4f,f9f78ed17fce4bcd63e24aaa39a9e47dddbd7f4f,3182.0,2222.0,-960.0,960.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2025-08,code_smells,both,exact_match,True,af4afd423a8cce60bcaf879e543f1b696e3f0caa,af4afd423a8cce60bcaf879e543f1b696e3f0caa,3219.0,2263.0,-956.0,956.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-08,code_smells,both,exact_match,True,523c5afc8405d8726f7cf8867bbd5f75a75ce24e,523c5afc8405d8726f7cf8867bbd5f75a75ce24e,3076.0,2122.0,-954.0,954.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-10,code_smells,both,exact_match,True,cbb5fc6a80505309a1b00b37b77d772255490afa,cbb5fc6a80505309a1b00b37b77d772255490afa,3027.0,2104.0,-923.0,923.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-07,code_smells,both,exact_match,True,cdbf62d31e3f4f8ab0702b386c32dd06473d95e7,cdbf62d31e3f4f8ab0702b386c32dd06473d95e7,2997.0,2091.0,-906.0,906.0,ncloc_close,source_scope_difference_or_mixed
treatment,wdm0006/elote,2025-02,static_analysis_warnings,both,exact_match,True,6371b529b88402434e8cafaaf0ed137b412bfd6b,6371b529b88402434e8cafaaf0ed137b412bfd6b,937.0,51.0,-886.0,886.0,ncloc_different,source_scope_difference_or_mixed
