metric,value
all_comparison_metric_rows,18323
all_comparison_unique_repo_months,2169
final_did_metric_rows_with_comparison,14292
final_did_unique_repo_months_with_comparison,1588
final_did_unique_repos_with_comparison,217
final_did_rows_for_static_analysis_warnings,1588
final_did_rows_for_code_smells,1588
final_did_rows_for_technical_debt,1588
final_did_rows_for_bugs,1588
final_did_rows_for_vulnerabilities,1588
final_did_rows_for_ncloc,1588
final_did_rows_for_cognitive_complexity,1588
final_did_rows_for_duplicated_lines_density,1588
final_did_rows_for_comment_lines_density,1588
