source_group,repo_name,time,paper_latest_commit,paper_ncloc,paper_bugs,paper_vulnerabilities,paper_code_smells,paper_duplicated_lines_density,paper_comment_lines_density,paper_cognitive_complexity,paper_technical_debt,paper_static_analysis_warnings,our_latest_commit,our_ncloc,our_bugs,our_vulnerabilities,our_code_smells,our_duplicated_lines_density,our_comment_lines_density,our_cognitive_complexity,our_technical_debt,our_static_analysis_warnings,row_overlap_status,commit_match_status,commit_equal_or_prefix,diff_ncloc,abs_diff_ncloc,diff_bugs,abs_diff_bugs,diff_vulnerabilities,abs_diff_vulnerabilities,diff_code_smells,abs_diff_code_smells,diff_duplicated_lines_density,abs_diff_duplicated_lines_density,diff_comment_lines_density,abs_diff_comment_lines_density,diff_cognitive_complexity,abs_diff_cognitive_complexity,diff_technical_debt,abs_diff_technical_debt,diff_static_analysis_warnings,abs_diff_static_analysis_warnings
control,Drchip61/Dual_SAM,2025-07,,,,,,,,,,,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,3357.0,2.0,1.0,191.0,4.5,22.8,300.0,890.0,194.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Drchip61/Dual_SAM,2025-08,,,,,,,,,,,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,3357.0,2.0,1.0,191.0,4.5,22.8,300.0,890.0,194.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,EURAC-EEBgroup/brick-llm,2025-06,,,,,,,,,,,ac89ecd41929d3133379fda4bcf5e85927d1c4ac,1685.0,0.0,0.0,32.0,0.0,22.7,288.0,214.0,32.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,EURAC-EEBgroup/brick-llm,2025-07,,,,,,,,,,,ac89ecd41929d3133379fda4bcf5e85927d1c4ac,1685.0,0.0,0.0,32.0,0.0,22.7,288.0,214.0,32.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,EURAC-EEBgroup/brick-llm,2025-08,,,,,,,,,,,ac89ecd41929d3133379fda4bcf5e85927d1c4ac,1685.0,0.0,0.0,32.0,0.0,22.7,288.0,214.0,32.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2024-05,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2024-06,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2024-07,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2024-08,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,Envious-Data/Env-KB,2024-09,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
