metric,analysis_rows,comparable_non_null,identical_rows,different_rows,identical_share_among_non_null,different_share_among_non_null,positive_diff_rows,negative_diff_rows,positive_diff_share,negative_diff_share,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,max_abs_diff,paper_mean,our_mean
bugs,911,911,562,349,0.6169045005488474,0.38309549945115257,146,203,0.1602634467618002,0.22283205268935236,-5.531284302963776,0.0,0.0,8.0,17.0,336.9,338.0,11.513721185510429,5.982436882546652
vulnerabilities,911,911,605,306,0.6641053787047201,0.3358946212952799,263,43,0.28869374313940727,0.04720087815587267,1.1174533479692645,0.0,0.0,4.0,6.0,16.699999999999932,19.0,0.25686059275521406,1.3743139407244787
code_smells,911,911,128,783,0.14050493962678376,0.8594950603732162,538,245,0.5905598243688255,0.2689352360043908,6.635565312843029,2.0,8.0,55.0,212.5,648.4999999999931,837.0,130.0900109769484,136.72557628979143
technical_debt,911,911,115,796,0.12623490669593854,0.8737650933040615,521,275,0.5718990120746432,0.3018660812294182,29.153677277716795,6.0,40.0,305.0,928.0,2406.1999999999944,3580.0,831.4467618002195,860.6004390779364
static_analysis_warnings,911,911,108,803,0.11855104281009879,0.8814489571899012,540,263,0.5927552140504939,0.28869374313940727,2.221734357848518,3.0,9.0,55.0,228.5,683.8999999999968,841.0,141.86059275521404,144.08232711306258
