source_group,repo_name,time,commit_match_status,paper_latest_commit,our_latest_commit,ncloc_scope_status,metric,paper_value,our_value,diff,abs_diff
control,jacebrowning/datafiles,2024-11,exact_match,51ad26394a2b99ed8dfab0bd1538abfca73db233,51ad26394a2b99ed8dfab0bd1538abfca73db233,ncloc_identical,bugs,340.0,2.0,-338.0,338.0
control,jacebrowning/datafiles,2025-02,exact_match,4c2b99a126d0f7ad8d13f5c55e098b07c3f51045,4c2b99a126d0f7ad8d13f5c55e098b07c3f51045,ncloc_identical,bugs,340.0,2.0,-338.0,338.0
control,jacebrowning/datafiles,2024-10,exact_match,46280de29975a61a5d4cd09f36c806a2fb7db769,46280de29975a61a5d4cd09f36c806a2fb7db769,ncloc_identical,bugs,340.0,2.0,-338.0,338.0
control,jacebrowning/datafiles,2025-04,exact_match,e07b38ed8d6e89f0887aa5ec6712934467742b36,e07b38ed8d6e89f0887aa5ec6712934467742b36,ncloc_identical,bugs,340.0,2.0,-338.0,338.0
control,jacebrowning/datafiles,2025-05,exact_match,7516af8388fd968e6b7abbfb0df7d51d658142d2,7516af8388fd968e6b7abbfb0df7d51d658142d2,ncloc_identical,bugs,340.0,2.0,-338.0,338.0
control,jacebrowning/datafiles,2025-06,exact_match,cb3628112394669d5a93a5804f4d6e23cf161eba,cb3628112394669d5a93a5804f4d6e23cf161eba,ncloc_identical,bugs,340.0,2.0,-338.0,338.0
control,jacebrowning/datafiles,2025-07,exact_match,a7737126dae693f755013f0fcd11df7867274df6,a7737126dae693f755013f0fcd11df7867274df6,ncloc_identical,bugs,340.0,2.0,-338.0,338.0
control,jacebrowning/datafiles,2024-05,exact_match,59566a650f2624f2fc214bd9d8b3c5e7d825da57,59566a650f2624f2fc214bd9d8b3c5e7d825da57,ncloc_identical,bugs,339.0,2.0,-337.0,337.0
control,jacebrowning/datafiles,2024-08,exact_match,03281501945c2ae93ad35c5a618178d65bb2d0d8,03281501945c2ae93ad35c5a618178d65bb2d0d8,ncloc_identical,bugs,339.0,2.0,-337.0,337.0
control,jacebrowning/datafiles,2024-07,exact_match,8840d02caab67fec49efe08a7912d1f39949a100,8840d02caab67fec49efe08a7912d1f39949a100,ncloc_identical,bugs,339.0,2.0,-337.0,337.0
control,jacebrowning/datafiles,2024-03,exact_match,fc623e81f9e7476938a04e191b471aa90dc11d76,fc623e81f9e7476938a04e191b471aa90dc11d76,ncloc_identical,bugs,338.0,2.0,-336.0,336.0
control,jacebrowning/datafiles,2024-01,exact_match,47ae5be927e7c079ca0b9a6b01b811bf9ffcf9bd,47ae5be927e7c079ca0b9a6b01b811bf9ffcf9bd,ncloc_identical,bugs,338.0,2.0,-336.0,336.0
treatment,Kiln-AI/Kiln,2025-08,exact_match,315777c3f26303453773d154dbe9c11533c7615f,315777c3f26303453773d154dbe9c11533c7615f,ncloc_identical,bugs,99.0,24.0,-75.0,75.0
treatment,trycua/cua,2025-08,exact_match,9515a650ad505cad48638abcb96d343d7b6d1da1,9515a650ad505cad48638abcb96d343d7b6d1da1,ncloc_identical,bugs,3.0,58.0,55.0,55.0
treatment,trycua/cua,2025-06,exact_match,f4b6b5942bc67e3331da5c442f6b8aa894bd12a1,f4b6b5942bc67e3331da5c442f6b8aa894bd12a1,ncloc_identical,bugs,4.0,54.0,50.0,50.0
treatment,trycua/cua,2025-07,exact_match,10bac17c7892facda695a514891e078ae9a55991,10bac17c7892facda695a514891e078ae9a55991,ncloc_identical,bugs,2.0,51.0,49.0,49.0
control,FolhaSP/mosaico,2025-07,exact_match,b3c2a5e6ed21ebdabf955c519d66a458c2bd08e4,b3c2a5e6ed21ebdabf955c519d66a458c2bd08e4,ncloc_identical,bugs,48.0,1.0,-47.0,47.0
treatment,Kiln-AI/Kiln,2025-02,exact_match,19d3c934771e762e031503d6a69625560bb990d4,19d3c934771e762e031503d6a69625560bb990d4,ncloc_identical,bugs,59.0,14.0,-45.0,45.0
treatment,trycua/cua,2025-05,exact_match,99b979ef114345fae36dba627f33577388759f47,99b979ef114345fae36dba627f33577388759f47,ncloc_identical,bugs,3.0,47.0,44.0,44.0
control,FolhaSP/mosaico,2025-03,exact_match,8c825203557e4cc983b6a36d53edbe646f367988,8c825203557e4cc983b6a36d53edbe646f367988,ncloc_identical,bugs,44.0,1.0,-43.0,43.0
control,FolhaSP/mosaico,2025-05,exact_match,c9ad0020d5857a46eb6749c4ef6df883ef0b1e9e,c9ad0020d5857a46eb6749c4ef6df883ef0b1e9e,ncloc_identical,bugs,44.0,1.0,-43.0,43.0
treatment,Kiln-AI/Kiln,2025-05,exact_match,2e335295e5b45762838ecebd9a09dcbdb70f3c35,2e335295e5b45762838ecebd9a09dcbdb70f3c35,ncloc_identical,bugs,64.0,22.0,-42.0,42.0
control,PennyLaneAI/catalyst,2025-08,exact_match,0150699ff9adda89142bf65e2600619d61f6d55a,0150699ff9adda89142bf65e2600619d61f6d55a,ncloc_identical,bugs,50.0,9.0,-41.0,41.0
treatment,Kiln-AI/Kiln,2025-04,exact_match,39423a96b59cba8c650cf807d6cfd7472e59ac38,39423a96b59cba8c650cf807d6cfd7472e59ac38,ncloc_identical,bugs,61.0,22.0,-39.0,39.0
treatment,instructor-ai/instructor,2025-08,exact_match,e6fd592b1b28122c09a13b63015b700e0e44ac7b,e6fd592b1b28122c09a13b63015b700e0e44ac7b,ncloc_identical,bugs,56.0,17.0,-39.0,39.0
treatment,Kiln-AI/Kiln,2025-03,exact_match,3ffe3c317febc7255c5bb8502c3e87839b3b3b43,3ffe3c317febc7255c5bb8502c3e87839b3b3b43,ncloc_identical,bugs,61.0,22.0,-39.0,39.0
control,PennyLaneAI/catalyst,2025-06,exact_match,f43af48a983a734ca863a04362b99176d506bcb8,f43af48a983a734ca863a04362b99176d506bcb8,ncloc_identical,bugs,47.0,9.0,-38.0,38.0
control,PennyLaneAI/catalyst,2024-12,exact_match,4ab437d35491088597bb6f2e4261bab3c3cedc2b,4ab437d35491088597bb6f2e4261bab3c3cedc2b,ncloc_identical,bugs,45.0,9.0,-36.0,36.0
control,PennyLaneAI/catalyst,2025-01,exact_match,d7391b2a18820e80af59095204f668f1758e2278,d7391b2a18820e80af59095204f668f1758e2278,ncloc_identical,bugs,45.0,9.0,-36.0,36.0
control,PennyLaneAI/catalyst,2025-05,exact_match,06db0834814629bbac4bea9188101898cc4b0a91,06db0834814629bbac4bea9188101898cc4b0a91,ncloc_identical,bugs,45.0,9.0,-36.0,36.0
control,PennyLaneAI/catalyst,2025-03,exact_match,d5329df09ed618392f858c17160e1d7833a2588c,d5329df09ed618392f858c17160e1d7833a2588c,ncloc_identical,bugs,45.0,9.0,-36.0,36.0
control,PennyLaneAI/catalyst,2025-02,exact_match,f4f4105451484b80b4fb3f71dc41ff395c188cce,f4f4105451484b80b4fb3f71dc41ff395c188cce,ncloc_identical,bugs,45.0,9.0,-36.0,36.0
control,dymmond/edgy,2025-03,exact_match,19f8913f2cb1586714752dda0ec21eb5fae3045d,19f8913f2cb1586714752dda0ec21eb5fae3045d,ncloc_identical,bugs,28.0,5.0,-23.0,23.0
