repo_name,time,scan_group,latest_commit,ncloc_our,bugs_our,vulnerabilities_our,code_smells_our,duplicated_lines_density_our,comment_lines_density_our,cognitive_complexity_our,technical_debt_our,static_analysis_warnings_our,is_treatment,event,post_event,time_to_event,dataset_source,ncloc_paper,bugs_paper,vulnerabilities_paper,code_smells_paper,duplicated_lines_density_paper,comment_lines_density_paper,cognitive_complexity_paper,technical_debt_paper,static_analysis_warnings_paper,paper_match_status,diff_ncloc,abs_diff_ncloc,identical_ncloc,diff_bugs,abs_diff_bugs,identical_bugs,diff_vulnerabilities,abs_diff_vulnerabilities,identical_vulnerabilities,diff_code_smells,abs_diff_code_smells,identical_code_smells,diff_duplicated_lines_density,abs_diff_duplicated_lines_density,identical_duplicated_lines_density,diff_comment_lines_density,abs_diff_comment_lines_density,identical_comment_lines_density,diff_cognitive_complexity,abs_diff_cognitive_complexity,identical_cognitive_complexity,diff_technical_debt,abs_diff_technical_debt,identical_technical_debt,diff_static_analysis_warnings,abs_diff_static_analysis_warnings,identical_static_analysis_warnings
DannyMac180/mirror,2025-01,treatment,07faea189c83c42cd4cb5361ea41527168d3a377,3664.0,0.0,4.0,19.0,0.9,23.3,418.0,142.0,23.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
DannyMac180/mirror,2025-02,treatment,07faea189c83c42cd4cb5361ea41527168d3a377,3664.0,0.0,4.0,19.0,0.9,23.3,418.0,142.0,23.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
DannyMac180/mirror,2025-03,treatment,07faea189c83c42cd4cb5361ea41527168d3a377,3664.0,0.0,4.0,19.0,0.9,23.3,418.0,142.0,23.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
DannyMac180/mirror,2025-04,treatment,07faea189c83c42cd4cb5361ea41527168d3a377,3664.0,0.0,4.0,19.0,0.9,23.3,418.0,142.0,23.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
DannyMac180/mirror,2025-05,treatment,07faea189c83c42cd4cb5361ea41527168d3a377,3664.0,0.0,4.0,19.0,0.9,23.3,418.0,142.0,23.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
DannyMac180/mirror,2025-06,treatment,07faea189c83c42cd4cb5361ea41527168d3a377,3664.0,0.0,4.0,19.0,0.9,23.3,418.0,142.0,23.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
DannyMac180/mirror,2025-07,treatment,07faea189c83c42cd4cb5361ea41527168d3a377,3664.0,0.0,4.0,19.0,0.9,23.3,418.0,142.0,23.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
DannyMac180/mirror,2025-08,treatment,07faea189c83c42cd4cb5361ea41527168d3a377,3664.0,0.0,4.0,19.0,0.9,23.3,418.0,142.0,23.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Elevate-Code/better-voice-typing,2025-08,treatment,5233de084ce33a7b791b053561d57fc58fd81781,1824.0,0.0,0.0,28.0,0.0,21.4,413.0,164.0,28.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
MDGrey33/pyvisionai,2025-08,treatment,cc125c05100115df578cbcdf0da4e57778e423aa,7129.0,7.0,0.0,77.0,2.5,18.5,671.0,433.0,84.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Mineru98/mysql-mcp-server,2025-04,treatment,e183dda6defcde596631e6cf1d5764c988a043f2,2043.0,0.0,12.0,19.0,7.1,6.9,136.0,150.0,31.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Mineru98/mysql-mcp-server,2025-05,treatment,e183dda6defcde596631e6cf1d5764c988a043f2,2043.0,0.0,12.0,19.0,7.1,6.9,136.0,150.0,31.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Mineru98/mysql-mcp-server,2025-06,treatment,e183dda6defcde596631e6cf1d5764c988a043f2,2043.0,0.0,12.0,19.0,7.1,6.9,136.0,150.0,31.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Mineru98/mysql-mcp-server,2025-07,treatment,e183dda6defcde596631e6cf1d5764c988a043f2,2043.0,0.0,12.0,19.0,7.1,6.9,136.0,150.0,31.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Mineru98/mysql-mcp-server,2025-08,treatment,e183dda6defcde596631e6cf1d5764c988a043f2,2043.0,0.0,12.0,19.0,7.1,6.9,136.0,150.0,31.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Multi-V-VM/MVVM,2025-08,treatment,993e036efe871d117bdcfd14246a69f407fc5ef6,7495.0,9.0,2.0,461.0,33.3,18.6,1608.0,2955.0,472.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Ody-Z/Trading_Game_Simulator,2025-03,treatment,50bbbe078988b2f37720c247a12d2a8368e3e283,599.0,0.0,0.0,6.0,0.0,20.5,111.0,59.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Ody-Z/Trading_Game_Simulator,2025-04,treatment,50bbbe078988b2f37720c247a12d2a8368e3e283,599.0,0.0,0.0,6.0,0.0,20.5,111.0,59.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Ody-Z/Trading_Game_Simulator,2025-05,treatment,50bbbe078988b2f37720c247a12d2a8368e3e283,599.0,0.0,0.0,6.0,0.0,20.5,111.0,59.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Ody-Z/Trading_Game_Simulator,2025-06,treatment,50bbbe078988b2f37720c247a12d2a8368e3e283,599.0,0.0,0.0,6.0,0.0,20.5,111.0,59.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Ody-Z/Trading_Game_Simulator,2025-07,treatment,50bbbe078988b2f37720c247a12d2a8368e3e283,599.0,0.0,0.0,6.0,0.0,20.5,111.0,59.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
Ody-Z/Trading_Game_Simulator,2025-08,treatment,50bbbe078988b2f37720c247a12d2a8368e3e283,599.0,0.0,0.0,6.0,0.0,20.5,111.0,59.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
OpenMOSS/Language-Model-SAEs,2025-08,treatment,6afc05011512735430b9e7036a7a0f1fb6d0fbe2,44912.0,83.0,8.0,4380.0,3.7,10.5,16606.0,23033.0,4471.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
OpenSPP/openspp-modules,2025-08,treatment,bbfe82a523fcba3a8202d41b851a1a961258e6b4,101618.0,167.0,9.0,638.0,24.8,6.6,4944.0,3629.0,814.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2024-11,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2024-12,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2025-01,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2025-02,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2025-03,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2025-04,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2025-05,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2025-06,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2025-07,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
PiotrCzapla/smart_dictation,2025-08,treatment,f0f396492a7bc34bd4fd16e2857d21f744d7c6b1,351.0,1.0,0.0,5.0,0.0,4.4,26.0,55.0,6.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
SlyyCooper/cursorrules-architect,2025-05,treatment,d3341bec543e5ba24cacc2caf33383e98c657e2d,3436.0,7.0,0.0,54.0,1.1,40.0,629.0,372.0,61.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
SlyyCooper/cursorrules-architect,2025-06,treatment,d3341bec543e5ba24cacc2caf33383e98c657e2d,3436.0,7.0,0.0,54.0,1.1,40.0,629.0,372.0,61.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
SlyyCooper/cursorrules-architect,2025-07,treatment,d3341bec543e5ba24cacc2caf33383e98c657e2d,3436.0,7.0,0.0,54.0,1.1,40.0,629.0,372.0,61.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
SlyyCooper/cursorrules-architect,2025-08,treatment,d3341bec543e5ba24cacc2caf33383e98c657e2d,3436.0,7.0,0.0,54.0,1.1,40.0,629.0,372.0,61.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-AI-Paul-Graham,2025-04,treatment,eb304ff3774606a2bdb67cc4065605c4ac2f8ca7,839.0,0.0,0.0,13.0,0.0,21.6,150.0,95.0,13.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-AI-Paul-Graham,2025-05,treatment,eb304ff3774606a2bdb67cc4065605c4ac2f8ca7,839.0,0.0,0.0,13.0,0.0,21.6,150.0,95.0,13.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-AI-Paul-Graham,2025-06,treatment,eb304ff3774606a2bdb67cc4065605c4ac2f8ca7,839.0,0.0,0.0,13.0,0.0,21.6,150.0,95.0,13.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-AI-Paul-Graham,2025-07,treatment,eb304ff3774606a2bdb67cc4065605c4ac2f8ca7,839.0,0.0,0.0,13.0,0.0,21.6,150.0,95.0,13.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-AI-Paul-Graham,2025-08,treatment,eb304ff3774606a2bdb67cc4065605c4ac2f8ca7,839.0,0.0,0.0,13.0,0.0,21.6,150.0,95.0,13.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-Cold-Email-Personalization,2025-04,treatment,200903e33e7756a880160f8b7c5d6e5dd51794a6,599.0,0.0,0.0,3.0,0.0,16.5,125.0,72.0,3.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
The-Pocket/Tutorial-Cold-Email-Personalization,2025-05,treatment,200903e33e7756a880160f8b7c5d6e5dd51794a6,599.0,0.0,0.0,3.0,0.0,16.5,125.0,72.0,3.0,,,,,,,,,,,,,,,left_only,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False
