source_group,repo_name,time,commit_match_status,paper_latest_commit,our_latest_commit,ncloc_scope_status,metric,paper_value,our_value,diff,abs_diff
treatment,zauberzeug/nicegui,2025-04,exact_match,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,ncloc_different,cognitive_complexity,94814.0,65372.0,-29442.0,29442.0
treatment,wdm0006/elote,2025-02,exact_match,6371b529b88402434e8cafaaf0ed137b412bfd6b,6371b529b88402434e8cafaaf0ed137b412bfd6b,ncloc_different,cognitive_complexity,25342.0,275.0,-25067.0,25067.0
treatment,wdm0006/elote,2024-07,exact_match,75739e6ad51f3d50fdd047a0136f56b6274ad080,75739e6ad51f3d50fdd047a0136f56b6274ad080,ncloc_different,cognitive_complexity,25213.0,146.0,-25067.0,25067.0
treatment,PostHog/posthog,2025-04,exact_match,08f147eb9879e899fb7939f4b9413c86164ba7f9,08f147eb9879e899fb7939f4b9413c86164ba7f9,ncloc_different,cognitive_complexity,69756.0,76027.0,6271.0,6271.0
treatment,PostHog/posthog,2025-08,exact_match,79cf381322842888a721905c09490e85f98a5a2a,79cf381322842888a721905c09490e85f98a5a2a,ncloc_different,cognitive_complexity,93378.0,97541.0,4163.0,4163.0
treatment,PostHog/posthog,2025-06,exact_match,bf87ddcb0e02027bb8c1e7a1aa2e03f0c4312e90,bf87ddcb0e02027bb8c1e7a1aa2e03f0c4312e90,ncloc_different,cognitive_complexity,81500.0,85016.0,3516.0,3516.0
treatment,PostHog/posthog,2025-05,exact_match,fa2cab6b204f2efeabb5c5bbc1d35ff23c91ec8b,fa2cab6b204f2efeabb5c5bbc1d35ff23c91ec8b,ncloc_different,cognitive_complexity,76949.0,79996.0,3047.0,3047.0
treatment,PostHog/posthog,2025-03,exact_match,ecdaddcfaf15967165806e2cd4f9bc0cfb40f0e1,ecdaddcfaf15967165806e2cd4f9bc0cfb40f0e1,ncloc_different,cognitive_complexity,69652.0,71936.0,2284.0,2284.0
control,VirtualFlow/VFVS,2024-01,exact_match,408299a0f106a08fa1792c63b3699453329cc2d6,408299a0f106a08fa1792c63b3699453329cc2d6,ncloc_different,cognitive_complexity,2524.0,344.0,-2180.0,2180.0
treatment,PostHog/posthog,2025-02,exact_match,e6cdfed56138f74a1e8bcac05f60036d96ab9a6a,e6cdfed56138f74a1e8bcac05f60036d96ab9a6a,ncloc_different,cognitive_complexity,65955.0,67802.0,1847.0,1847.0
