ncloc_scope_status,metric,exact_commit_rows,comparable_non_null,identical_rows,identical_share_among_non_null,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,max_abs_diff,paper_mean,our_mean
ncloc_close,ncloc,406,406,0,0.0,-63.1256157635468,-1.0,18.0,375.0,668.75,1212.899999999995,1633.0,156037.31280788177,155974.18719211823
ncloc_different,ncloc,171,171,0,0.0,4620.830409356725,466.0,1578.0,19719.0,30436.5,83375.60000000008,133392.0,96328.04093567251,100948.87134502924
ncloc_identical,ncloc,911,911,911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8634.40614709111,8634.40614709111
ncloc_missing,ncloc,29,0,0,,,,,,,,,,
ncloc_close,bugs,406,406,66,0.1625615763546798,-106.44581280788178,-2.0,8.0,187.0,444.25,2182.949999999999,2190.0,199.3768472906404,92.93103448275862
ncloc_different,bugs,171,171,33,0.19298245614035087,-8.146198830409357,-2.0,4.0,38.0,287.0,287.0,3864.0,122.3391812865497,114.19298245614036
ncloc_identical,bugs,911,911,562,0.6169045005488474,-5.531284302963776,0.0,0.0,8.0,17.0,336.9,338.0,11.513721185510429,5.982436882546652
ncloc_missing,bugs,29,22,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncloc_close,vulnerabilities,406,406,56,0.13793103448275862,8.866995073891626,5.0,7.0,29.0,33.75,48.94999999999999,137.0,11.687192118226601,20.554187192118228
ncloc_different,vulnerabilities,171,171,72,0.42105263157894735,8.64327485380117,1.0,1.0,17.0,68.0,84.60000000000002,87.0,4.0701754385964914,12.713450292397662
ncloc_identical,vulnerabilities,911,911,605,0.6641053787047201,1.1174533479692645,0.0,0.0,4.0,6.0,16.699999999999932,19.0,0.25686059275521406,1.3743139407244787
ncloc_missing,vulnerabilities,29,22,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncloc_close,code_smells,406,406,2,0.0049261083743842365,317.5270935960591,41.5,127.0,1046.5,1514.75,7625.899999999958,7833.0,2348.768472906404,2666.295566502463
ncloc_different,code_smells,171,171,1,0.005847953216374269,170.85380116959064,58.0,60.0,612.0,1210.0,1957.1000000000042,8448.0,1724.9883040935672,1895.842105263158
ncloc_identical,code_smells,911,911,128,0.14050493962678376,6.635565312843029,2.0,8.0,55.0,212.5,648.4999999999931,837.0,130.0900109769484,136.72557628979143
ncloc_missing,code_smells,29,22,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
