metric,compared_rows,rows_with_paper_match,paper_value_missing,our_value_missing,comparable_non_null,identical_rows,different_rows,mean_paper,mean_our,mean_diff,median_diff,mean_abs_diff,median_abs_diff,max_abs_diff,identical_share_among_non_null
bugs,3043,2169,1003,7,2033,991,2052,69.79068627450981,26.107048748353098,-26.599114608952288,0.0,34.146581406787995,1.0,3864.0,0.48745696015740286
code_smells,3043,2169,1003,7,2033,229,2814,829.8813725490196,641.3573781291173,85.20019675356616,4.0,150.62764387604525,15.0,8448.0,0.11264141662567634
cognitive_complexity,3043,2169,1035,42,2001,1758,1285,4864.874501992032,3580.677440853049,-107.13593203398301,0.0,170.1384307846077,0.0,29442.0,0.8785607196401799
comment_lines_density,3043,2169,1029,36,2007,1691,1352,15.550794438927507,15.576687728633189,0.01654210264075734,0.0,0.20049825610363728,0.0,15.7,0.8425510712506228
duplicated_lines_density,3043,2169,1029,36,2007,1675,1368,7.178003972194637,7.403757898237446,-0.17149975087194821,0.0,0.44564025909317395,0.0,46.599999999999994,0.8345789735924265
ncloc,3043,2169,1029,36,2007,1291,1752,50996.38182720953,36401.526770867975,346.8281016442451,0.0,810.3647234678625,0.0,133392.0,0.643248629795715
static_analysis_warnings,3043,2169,1003,7,2033,204,2839,902.5745098039216,673.1353754940711,62.52680767338908,5.0,144.2444663059518,16.0,12308.0,0.10034431874077718
technical_debt,3043,2169,1003,7,2033,245,2798,5642.038725490196,4118.595191040843,128.8524348253812,15.0,800.8386620757501,70.0,56847.0,0.1205115592720118
vulnerabilities,3043,2169,1003,7,2033,1046,1997,2.9024509803921568,5.67094861660079,3.925725528775209,0.0,4.419576979832759,0.0,137.0,0.514510575504181
