target_id,variant,source_group,repo_name,time,path_bucket,component_path,type,paper_count,our_count,diff_our_minus_paper,paper_minus_our,abs_diff
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-UWHJNN4Q.mjs,CODE_SMELL,0,147,147,-147,147
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/styles/vars.scss,CODE_SMELL,0,125,125,-125,125
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/lemon-ui/icons/icons.tsx,CODE_SMELL,0,114,114,-114,114
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/feature-flags/FeatureFlagSnippets.tsx,CODE_SMELL,0,104,104,-104,104
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/gitGraphDiagram-LRIBUTDQ.mjs,CODE_SMELL,0,102,102,-102,102
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-AC3VT7B7.mjs,CODE_SMELL,0,99,99,-99,99
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/blockDiagram-NDWNTGEE.mjs,BUG,0,92,92,-92,92
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/classDiagram-v2-NO4EPWGV.mjs,CODE_SMELL,0,89,89,-89,89
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/utils.tsx,CODE_SMELL,0,75,75,-75,75
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-6XGRHI2A.mjs,CODE_SMELL,0,72,72,-72,72
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/ip.js,CODE_SMELL,0,69,69,-69,69
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/python/stl/__init__.py,CODE_SMELL,0,66,66,-66,66
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/dagre-EVPMPUST.mjs,CODE_SMELL,0,59,59,-59,59
