time,analysis_rows,unique_repos,median_abs_diff_bugs,mean_diff_bugs,sum_abs_diff_bugs,median_abs_diff_vulnerabilities,mean_diff_vulnerabilities,sum_abs_diff_vulnerabilities,median_abs_diff_code_smells,mean_diff_code_smells,sum_abs_diff_code_smells,median_abs_diff_technical_debt,mean_diff_technical_debt,sum_abs_diff_technical_debt,median_abs_diff_static_analysis_warnings,mean_diff_static_analysis_warnings,sum_abs_diff_static_analysis_warnings
2024-01,22,22,0.0,-16.59090909090909,375.0,0.0,1.5909090909090908,39.0,7.5,-7.5,849.0,32.0,-71.81818181818181,4306.0,8.5,-22.5,1225.0
2024-02,29,29,0.0,-1.4827586206896552,55.0,0.0,1.5862068965517242,50.0,7.0,0.7586206896551724,658.0,35.0,-27.482758620689655,3103.0,8.0,0.8620689655172413,695.0
2024-03,33,33,0.0,-11.303030303030303,397.0,0.0,1.1515151515151516,42.0,6.0,-10.363636363636363,716.0,22.0,-74.39393939393939,3769.0,8.0,-20.515151515151516,1111.0
2024-04,28,28,0.0,-1.25,51.0,0.0,1.5714285714285714,48.0,9.0,23.428571428571427,1288.0,37.0,89.75,6439.0,10.5,23.75,1345.0
2024-05,32,32,0.0,-11.84375,403.0,0.0,2.375,80.0,15.0,24.40625,1991.0,59.0,127.84375,10423.0,15.5,14.9375,2404.0
2024-06,39,39,0.0,-0.9743589743589743,58.0,0.0,1.2307692307692308,52.0,8.0,27.512820512820515,1823.0,35.0,133.84615384615384,9404.0,9.0,27.76923076923077,1875.0
2024-07,41,41,0.0,-8.975609756097562,388.0,0.0,0.9512195121951219,43.0,9.0,4.536585365853658,1410.0,35.0,20.365853658536587,7221.0,10.0,-3.4878048780487805,1789.0
2024-08,48,48,0.0,-7.729166666666667,399.0,0.0,0.75,40.0,7.0,-1.875,1178.0,20.5,-17.5625,5877.0,7.5,-8.854166666666666,1563.0
2024-09,38,38,0.0,-0.9736842105263158,59.0,0.0,0.7894736842105263,34.0,8.0,9.789473684210526,1112.0,33.5,32.6578947368421,5747.0,9.0,9.605263157894736,1157.0
2024-10,50,50,0.0,-7.18,393.0,0.0,1.16,62.0,5.0,3.3,847.0,25.0,14.98,4175.0,7.0,-2.72,1240.0
2024-11,50,50,0.0,-7.62,425.0,0.0,0.66,37.0,7.0,0.4,1164.0,37.0,4.18,5395.0,9.5,-6.56,1562.0
2024-12,62,62,0.0,-1.8225806451612903,135.0,0.0,0.6774193548387096,46.0,5.0,-1.2419354838709677,1345.0,25.0,-2.596774193548387,6133.0,7.0,-2.3870967741935485,1426.0
2025-01,68,68,0.0,-1.3088235294117647,145.0,0.0,0.7058823529411765,52.0,6.0,-0.8235294117647058,1478.0,30.0,-4.0,7096.0,7.5,-1.4264705882352942,1583.0
2025-02,75,75,0.0,-5.84,574.0,0.0,1.1733333333333333,92.0,6.0,15.12,2586.0,46.0,67.69333333333333,13155.0,13.0,10.453333333333333,3142.0
2025-03,80,80,0.0,-0.7125,301.0,0.0,1.125,94.0,6.0,17.8125,3017.0,35.0,92.1875,14703.0,9.0,18.225,3270.0
2025-04,48,48,0.0,-6.791666666666667,482.0,0.0,1.0833333333333333,58.0,12.5,23.4375,1857.0,54.5,117.70833333333333,9324.0,15.5,17.729166666666668,2327.0
2025-05,50,50,0.0,-8.96,600.0,0.0,1.28,68.0,9.5,9.16,2234.0,43.0,42.26,11353.0,10.5,1.48,2810.0
2025-06,46,46,0.5,-7.869565217391305,536.0,0.0,1.434782608695652,72.0,13.0,-3.130434782608696,3170.0,55.5,3.891304347826087,13917.0,17.5,-9.565217391304348,3742.0
2025-07,36,36,1.0,-10.444444444444445,538.0,0.0,1.2777777777777777,52.0,17.0,-20.47222222222222,1929.0,63.0,-84.38888888888889,8074.0,18.5,-29.63888888888889,2465.0
2025-08,36,36,1.0,-2.25,283.0,0.0,1.0833333333333333,43.0,14.0,6.638888888888889,1261.0,75.0,12.583333333333334,6371.0,15.5,5.472222222222222,1435.0
