repo_name,time,scan_group,paper_match_status,metric,paper_value,our_value,diff,abs_diff,identical
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-01,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-02,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-03,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-04,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-05,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-06,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-07,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-08,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-09,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-10,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-11,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-12,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-01,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-02,control,both,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,control,both,bugs,0.0,0.0,0.0,0.0,True
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-04,control,left_only,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-05,control,left_only,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-06,control,left_only,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-07,control,left_only,bugs,,0.0,,,False
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-08,control,left_only,bugs,,0.0,,,False
