dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,322,79,1,1.84850530450089,1.32690014917238,1.17643792318542,0.5641237842463,3.3989888708722,8.29167246221875,21825.9968944099,70-79,70,80,bounded_band,ratio,paper,calendar_month,all,strict_band_70_79_ratio_paper_ncloc_calendar_month_all
treatment,519,87,1,2.17727342177227,1.70290502518499,1.39057784336163,0.600775475824737,4.08655042621756,9.27713035644956,153300.701348748,70-79,70,80,bounded_band,ratio,paper,calendar_month,all,strict_band_70_79_ratio_paper_ncloc_calendar_month_all
