repo_name,time,dataset_source,ever_treated,is_treatment,is_treatment_dynamic,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,matched_as_control,matched_treatment_repos,match_ranks,matched_periods
1mrat/cursor-taskrunner,2024-08,treatment,1,1,1,2024-08,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,4,264,8,1,,,,
Anemll/Anemll,2025-02,treatment,1,1,1,2025-02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,8,2742,701,2,,,,
Anemll/Anemll,2025-04,treatment,1,1,1,2025-02,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,True,5,23138,423,2,,,,
Anemll/Anemll,2025-05,treatment,1,1,0,2025-02,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,False,1,2,2,1,,,,
Anemll/Anemll,2025-06,treatment,1,1,1,2025-02,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,True,65,91287,9154,3,,,,
Anemll/Anemll,2025-07,treatment,1,1,0,2025-02,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,False,1,5389,567,1,,,,
Apocrathia/home-assistant-config,2024-01,treatment,1,0,0,2025-02,0,-13,1,0,0,0,0,0,0,0,0,0,0,0,0,False,5,32,22,1,,,,
Apocrathia/home-assistant-config,2024-02,treatment,1,0,0,2025-02,0,-12,1,0,0,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,,,,
Apocrathia/home-assistant-config,2024-03,treatment,1,0,0,2025-02,0,-11,1,0,0,0,0,0,0,0,0,0,0,0,0,False,3,14,147,1,,,,
Apocrathia/home-assistant-config,2024-04,treatment,1,0,0,2025-02,0,-10,1,0,0,0,0,0,0,0,0,0,0,0,0,False,6,108,40,1,,,,
Apocrathia/home-assistant-config,2024-05,treatment,1,0,0,2025-02,0,-9,1,0,0,0,0,0,0,0,0,0,0,0,0,False,17,120,46,4,,,,
Apocrathia/home-assistant-config,2024-06,treatment,1,0,0,2025-02,0,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,False,1,5,5,1,,,,
Apocrathia/home-assistant-config,2024-07,treatment,1,0,0,2025-02,0,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,False,17,500,61,3,,,,
Apocrathia/home-assistant-config,2024-10,treatment,1,0,0,2025-02,0,-4,0,0,1,0,0,0,0,0,0,0,0,0,0,False,1,5,5,1,,,,
Apocrathia/home-assistant-config,2024-11,treatment,1,0,0,2025-02,0,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,False,46,315,450,3,,,,
Apocrathia/home-assistant-config,2024-12,treatment,1,0,0,2025-02,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,False,2,26,8,1,,,,
Apocrathia/home-assistant-config,2025-01,treatment,1,0,0,2025-02,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,False,22,465,213,2,,,,
Apocrathia/home-assistant-config,2025-02,treatment,1,1,1,2025-02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,7,207,78,1,,,,
Apocrathia/home-assistant-config,2025-03,treatment,1,1,0,2025-02,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,False,4,16,9,1,,,,
Apocrathia/home-assistant-config,2025-05,treatment,1,1,0,2025-02,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,False,1,1,1,1,,,,
Apocrathia/home-assistant-config,2025-06,treatment,1,1,0,2025-02,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,False,1,14,2,1,,,,
Apocrathia/home-assistant-config,2025-07,treatment,1,1,0,2025-02,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,False,26,855,159,3,,,,
Apocrathia/home-assistant-config,2025-08,treatment,1,1,0,2025-02,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,False,7,133,35,3,,,,
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,treatment,1,1,1,2025-03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,64,357094,344695,3,,,,
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-04,treatment,1,1,0,2025-03,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,False,2,3,1,1,,,,
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-06,treatment,1,1,0,2025-03,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,False,1,3,3,1,,,,
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-08,treatment,1,1,0,2025-03,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,False,1,1009,1,1,,,,
Chocksy/qc-options-framework,2024-04,treatment,1,0,0,2025-03,0,-11,1,0,0,0,0,0,0,0,0,0,0,0,0,False,4,7346,12,1,,,,
Chocksy/qc-options-framework,2024-06,treatment,1,0,0,2025-03,0,-9,1,0,0,0,0,0,0,0,0,0,0,0,0,False,11,462,501,2,,,,
Chocksy/qc-options-framework,2024-07,treatment,1,0,0,2025-03,0,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,False,5,246,159,2,,,,
Chocksy/qc-options-framework,2024-08,treatment,1,0,0,2025-03,0,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,False,18,4116,1083,3,,,,
Chocksy/qc-options-framework,2024-09,treatment,1,0,0,2025-03,0,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,False,16,1088,608,2,,,,
Chocksy/qc-options-framework,2024-10,treatment,1,0,0,2025-03,0,-5,0,1,0,0,0,0,0,0,0,0,0,0,0,False,2,46,14,1,,,,
Chocksy/qc-options-framework,2024-11,treatment,1,0,0,2025-03,0,-4,0,0,1,0,0,0,0,0,0,0,0,0,0,False,27,8666,1236,1,,,,
Chocksy/qc-options-framework,2024-12,treatment,1,0,0,2025-03,0,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,False,9,316,148,1,,,,
Chocksy/qc-options-framework,2025-01,treatment,1,0,0,2025-03,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,False,3,73,7,2,,,,
Chocksy/qc-options-framework,2025-03,treatment,1,1,1,2025-03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,5,6077,1105,1,,,,
DannyMac180/mirror,2024-12,treatment,1,1,1,2024-12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,15,7096,1779,1,,,,
DataDog/integrations-core,2024-01,treatment,1,0,0,2025-03,0,-14,1,0,0,0,0,0,0,0,0,0,0,0,0,False,235,48568,7872,45,,,,
DataDog/integrations-core,2024-02,treatment,1,0,0,2025-03,0,-13,1,0,0,0,0,0,0,0,0,0,0,0,0,False,199,44603,13161,51,,,,
DataDog/integrations-core,2024-03,treatment,1,0,0,2025-03,0,-12,1,0,0,0,0,0,0,0,0,0,0,0,0,False,220,115076,16734,52,,,,
DataDog/integrations-core,2024-04,treatment,1,0,0,2025-03,0,-11,1,0,0,0,0,0,0,0,0,0,0,0,0,False,110,21104,3587,37,,,,
DataDog/integrations-core,2024-05,treatment,1,0,0,2025-03,0,-10,1,0,0,0,0,0,0,0,0,0,0,0,0,False,141,29120,3821,45,,,,
DataDog/integrations-core,2024-06,treatment,1,0,0,2025-03,0,-9,1,0,0,0,0,0,0,0,0,0,0,0,0,False,155,13412,4653,44,,,,
DataDog/integrations-core,2024-07,treatment,1,0,0,2025-03,0,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,False,148,108977,6988,53,,,,
DataDog/integrations-core,2024-08,treatment,1,0,0,2025-03,0,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,False,209,59996,5918,53,,,,
DataDog/integrations-core,2024-09,treatment,1,0,0,2025-03,0,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,False,171,114966,22299,53,,,,
DataDog/integrations-core,2024-10,treatment,1,0,0,2025-03,0,-5,0,1,0,0,0,0,0,0,0,0,0,0,0,False,141,100590,78175,55,,,,
DataDog/integrations-core,2024-11,treatment,1,0,0,2025-03,0,-4,0,0,1,0,0,0,0,0,0,0,0,0,0,False,128,82686,5126,51,,,,
DataDog/integrations-core,2024-12,treatment,1,0,0,2025-03,0,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,False,111,59478,2322,46,,,,
DataDog/integrations-core,2025-01,treatment,1,0,0,2025-03,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,False,137,73303,6537,41,,,,
DataDog/integrations-core,2025-02,treatment,1,0,0,2025-03,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,False,153,97879,4721,48,,,,
DataDog/integrations-core,2025-03,treatment,1,1,1,2025-03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,149,55897,6165,61,,,,
DataDog/integrations-core,2025-04,treatment,1,1,1,2025-03,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,True,154,46834,3096,61,,,,
DataDog/integrations-core,2025-05,treatment,1,1,1,2025-03,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,True,162,116050,8249,59,,,,
DataDog/integrations-core,2025-06,treatment,1,1,1,2025-03,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,True,142,79085,9677,70,,,,
