snapshot_key,dataset_source,scope_role,repo_name,time,clone_path,latest_commit_effective,commit_resolution,months_since_observed_commit,python_eligible,scan_status,project_key,project_version,status,ncloc_recovered,git_precheck_status,scanner_log_path,error_message,ncloc_patch_available,ncloc_patch_source
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-11,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,16,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-12,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,17,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-01,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,18,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-02,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,19,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__Envious-Data_Env-KB__e9f0ea380e53__f95934269f739d23,control,control,Envious-Data/Env-KB,2024-01,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,carried_forward,4,1,success_python,a05b_ncloc_Envious-Data_Env-KB_e9f0ea380e53,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,success,58.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__Envious-Data_Env-KB__e9f0ea380e53__f95934269f739d23.log,,True,run-x-a05b-sonarqube-whole-repository
control__Envious-Data_Env-KB__e9f0ea380e53__f95934269f739d23,control,control,Envious-Data/Env-KB,2024-02,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,carried_forward,5,1,success_python,a05b_ncloc_Envious-Data_Env-KB_e9f0ea380e53,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,success,58.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__Envious-Data_Env-KB__e9f0ea380e53__f95934269f739d23.log,,True,run-x-a05b-sonarqube-whole-repository
control__Envious-Data_Env-KB__e9f0ea380e53__f95934269f739d23,control,control,Envious-Data/Env-KB,2024-03,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,carried_forward,6,1,success_python,a05b_ncloc_Envious-Data_Env-KB_e9f0ea380e53,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,success,58.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__Envious-Data_Env-KB__e9f0ea380e53__f95934269f739d23.log,,True,run-x-a05b-sonarqube-whole-repository
control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd,control,control,FMInference/FlexiGen,2024-01,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,carried_forward,6,1,success_python,a05b_ncloc_FMInference_FlexiGen_d34f7b4b43ed,d34f7b4b43ed87a374f394b0535ed685af66197b,success,661431.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd.log,,True,run-x-a05b-sonarqube-whole-repository
control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd,control,control,FMInference/FlexiGen,2024-02,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,carried_forward,7,1,success_python,a05b_ncloc_FMInference_FlexiGen_d34f7b4b43ed,d34f7b4b43ed87a374f394b0535ed685af66197b,success,661431.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd.log,,True,run-x-a05b-sonarqube-whole-repository
control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd,control,control,FMInference/FlexiGen,2024-03,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,carried_forward,8,1,success_python,a05b_ncloc_FMInference_FlexiGen_d34f7b4b43ed,d34f7b4b43ed87a374f394b0535ed685af66197b,success,661431.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd.log,,True,run-x-a05b-sonarqube-whole-repository
