manifest_order,dataset_source,scope_role,repo_name,clone_path,affected_repo_month_rows,first_affected_month,last_affected_month,snapshot_key,commit_sha,project_version,project_key,implementation_version,scanner_log_path,scan_started_at,scan_completed_at,status,ncloc_recovered,ce_task_id,analysis_id,error_message,git_precheck_status
11,control,control,jfcrenshaw/pzflow,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jfcrenshaw_pzflow,1,2024-01,2024-01,control__jfcrenshaw_pzflow__268a52b8ef3e__155e34301cdf33c8,268a52b8ef3e38d3e1a4f1364a0430a8148eed22,268a52b8ef3e38d3e1a4f1364a0430a8148eed22,a05b_ncloc_jfcrenshaw_pzflow_268a52b8ef3e,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__jfcrenshaw_pzflow__268a52b8ef3e__155e34301cdf33c8.log,2026-08-02T21:57:11+00:00,2026-08-02T21:57:25+00:00,success,2965.0,46f256e8-6e4b-4986-b91d-537eaa319500,210e4914-1e8f-444b-92d2-999d38eac8ad,,ready
12,control,control,jrowellfx/lsseq,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jrowellfx_lsseq,7,2024-01,2024-07,control__jrowellfx_lsseq__89ee591fd919__6e52c01c11031e51,89ee591fd9198af2cf19b4e2c03c66a54cef901d,89ee591fd9198af2cf19b4e2c03c66a54cef901d,a05b_ncloc_jrowellfx_lsseq_89ee591fd919,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__jrowellfx_lsseq__89ee591fd919__6e52c01c11031e51.log,2026-08-02T21:57:25+00:00,2026-08-02T21:57:41+00:00,success,1228.0,ccf45eb5-54ee-46fd-942d-ed81bf950ce1,0da624de-eb63-4b60-ac45-eca77d8db183,,ready
13,control,control,lancedb/lancedb,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/lancedb_lancedb,3,2024-01,2024-03,control__lancedb_lancedb__a26c8f331659__ed208466eb462c28,a26c8f3316591a1a6385c482bc9078597d8d34c0,a26c8f3316591a1a6385c482bc9078597d8d34c0,a05b_ncloc_lancedb_lancedb_a26c8f331659,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__lancedb_lancedb__a26c8f331659__ed208466eb462c28.log,2026-08-02T21:57:41+00:00,2026-08-02T21:58:00+00:00,success,7630.0,d1c777ba-d985-47f5-aaf5-68ce5e0c0e7a,e26bf03a-a6a5-4d48-831a-282ca9f2abc6,,ready
14,control,control,odoo/industry,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/odoo_industry,7,2024-01,2024-07,control__odoo_industry__2be11cdea5a9__d4cf1059d41c24dd,2be11cdea5a98396919f6df9c1efba60d2e53b05,2be11cdea5a98396919f6df9c1efba60d2e53b05,a05b_ncloc_odoo_industry_2be11cdea5a9,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__odoo_industry__2be11cdea5a9__d4cf1059d41c24dd.log,2026-08-02T21:58:00+00:00,2026-08-02T21:58:13+00:00,success,4329.0,24c8be89-d210-46e8-afb5-76ebf6c18809,5e8665bf-38a8-48bf-b525-14c29f47a1c2,,ready
15,control,control,ruiqini/NTFields,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ruiqini_NTFields,6,2024-01,2024-06,control__ruiqini_NTFields__16b9da561fb3__a37a134d35122f30,16b9da561fb359e3b829399315627b76dc94e356,16b9da561fb359e3b829399315627b76dc94e356,a05b_ncloc_ruiqini_NTFields_16b9da561fb3,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__ruiqini_NTFields__16b9da561fb3__a37a134d35122f30.log,2026-08-02T21:58:13+00:00,2026-08-02T21:58:27+00:00,success,1615.0,d1788756-813a-40f1-8184-2e6b6e84ca86,f699c736-6230-4455-92ba-f77eb77e3ddd,,ready
16,control,control,saucer-man/qq_msg_decode,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/saucer-man_qq_msg_decode,5,2024-01,2024-05,control__saucer-man_qq_msg_decode__ee62f41bac5b__da419abd8acb9c96,ee62f41bac5b3ff4550250ef11bd186f3ee7a4be,ee62f41bac5b3ff4550250ef11bd186f3ee7a4be,a05b_ncloc_saucer-man_qq_msg_decode_ee62f41bac5b,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__saucer-man_qq_msg_decode__ee62f41bac5b__da419abd8acb9c96.log,2026-08-02T21:58:27+00:00,2026-08-02T21:58:40+00:00,success,279.0,f383c369-f232-4313-957f-c8131144edd4,732703d9-8357-4b9d-9b79-ce0f564ddee3,,ready
17,control,control,wasilukm/hoymiles-mqtt,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/wasilukm_hoymiles-mqtt,1,2024-01,2024-01,control__wasilukm_hoymiles-mqtt__0c5d55a64abb__a91935d662a6bcc1,0c5d55a64abb2d49b8e21b9fe01011e2ba65fe65,0c5d55a64abb2d49b8e21b9fe01011e2ba65fe65,a05b_ncloc_wasilukm_hoymiles-mqtt_0c5d55a64abb,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__wasilukm_hoymiles-mqtt__0c5d55a64abb__a91935d662a6bcc1.log,2026-08-02T21:58:40+00:00,2026-08-02T21:58:53+00:00,success,601.0,e3d86f77-aed2-4ae0-b5fe-3451ab597d69,84d64530-cc55-448a-b293-6019b561f023,,ready
18,control,control,weizequan/TASHR,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/weizequan_TASHR,2,2024-01,2024-02,control__weizequan_TASHR__7484e548f438__62003a006754769e,7484e548f438f0ccf29562f7fafb08ed4bea7b42,7484e548f438f0ccf29562f7fafb08ed4bea7b42,a05b_ncloc_weizequan_TASHR_7484e548f438,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__weizequan_TASHR__7484e548f438__62003a006754769e.log,2026-08-02T21:58:53+00:00,2026-08-02T21:59:07+00:00,success,4116.0,b194a6bd-05dd-49e8-abdb-8828ea1b3d70,6fef8acc-2094-458c-83ba-bb32a56af775,,ready
19,treatment,treatment,cgevans/qslib,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cgevans_qslib,1,2024-01,2024-01,treatment__cgevans_qslib__f2495546efad__9d077bb9dba067bf,f2495546efada29427371a14b4caeddd5e0a0421,f2495546efada29427371a14b4caeddd5e0a0421,a05b_ncloc_cgevans_qslib_f2495546efad,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__cgevans_qslib__f2495546efad__9d077bb9dba067bf.log,2026-08-02T21:59:07+00:00,2026-08-02T21:59:24+00:00,success,8276.0,2d9122d0-1eab-4d38-bea5-8089506a53ef,e22c9ef8-2583-4ad7-9abe-46b9ca20f2d2,,ready
20,treatment,treatment,ericmjl/pyds-cli,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,1,2024-01,2024-01,treatment__ericmjl_pyds-cli__c1c59db5b5a5__5ebb125a1744e1b4,c1c59db5b5a58036cd0d69eba0377388b7c09be6,c1c59db5b5a58036cd0d69eba0377388b7c09be6,a05b_ncloc_ericmjl_pyds-cli_c1c59db5b5a5,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__ericmjl_pyds-cli__c1c59db5b5a5__5ebb125a1744e1b4.log,2026-08-02T21:59:24+00:00,2026-08-02T21:59:38+00:00,success,778.0,97deeefa-d52f-4a20-b06d-18fe4b358377,22de9d40-7387-4650-a8c8-d6a3196cafde,,ready
21,treatment,treatment,lss233/kirara-ai,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/lss233_kirara-ai,1,2024-01,2024-01,treatment__lss233_kirara-ai__742e32566be6__59fe36aa5b4ea124,742e32566be60609889fd085b817ea2db7e1eae4,742e32566be60609889fd085b817ea2db7e1eae4,a05b_ncloc_lss233_kirara-ai_742e32566be6,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__lss233_kirara-ai__742e32566be6__59fe36aa5b4ea124.log,2026-08-02T21:59:38+00:00,2026-08-02T21:59:58+00:00,success,7190.0,7eb87883-b02e-4cf1-8a42-d905cd5cb0eb,7006e1ee-1599-41e9-82bf-f6316a155082,,ready
22,treatment,treatment,namuan/trading-utils,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/namuan_trading-utils,1,2024-01,2024-01,treatment__namuan_trading-utils__731168eed0c5__1b30fa308e699ddb,731168eed0c56f5f5bd78fc28c02e52dbbac0d55,731168eed0c56f5f5bd78fc28c02e52dbbac0d55,a05b_ncloc_namuan_trading-utils_731168eed0c5,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__namuan_trading-utils__731168eed0c5__1b30fa308e699ddb.log,2026-08-02T21:59:58+00:00,2026-08-02T22:00:12+00:00,success,4160.0,75ead9d5-e99b-42e1-91e0-09b03e552327,c22f5e73-e9bf-46ae-9633-c30bfab69e2f,,ready
23,treatment,treatment,nextml-code/pytorch-datastream,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/nextml-code_pytorch-datastream,7,2024-01,2024-07,treatment__nextml-code_pytorch-datastream__b6b326aa486c__98f70d78b66e3064,b6b326aa486c4f4f41e79832357641da56e79768,b6b326aa486c4f4f41e79832357641da56e79768,a05b_ncloc_nextml-code_pytorch-datastream_b6b326aa486c,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__nextml-code_pytorch-datastream__b6b326aa486c__98f70d78b66e3064.log,2026-08-02T22:00:12+00:00,2026-08-02T22:00:26+00:00,success,1684.0,ef531e7a-7628-4c62-821c-ea4cfdef68bd,b6592bcc-2c19-4cf2-805c-4a6e86191d9c,,ready
24,treatment,treatment,terryyin/lizard,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/terryyin_lizard,3,2024-01,2024-03,treatment__terryyin_lizard__3f4c17fdfd62__a0c71ca1aeb7fcc7,3f4c17fdfd625d7c6860379a77af56813e901026,3f4c17fdfd625d7c6860379a77af56813e901026,a05b_ncloc_terryyin_lizard_3f4c17fdfd62,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__terryyin_lizard__3f4c17fdfd62__a0c71ca1aeb7fcc7.log,2026-08-02T22:00:26+00:00,2026-08-02T22:00:53+00:00,success,37247.0,d054c9ed-521a-4e3e-b995-4dba99b1366c,17b4e1a4-078d-444e-bea4-8c0ca48f7ad5,,ready
25,treatment,treatment,vietanhdev/anylabeling,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/vietanhdev_anylabeling,5,2024-01,2024-05,treatment__vietanhdev_anylabeling__28a5a7f03e29__c21d78da75b1c744,28a5a7f03e2970d2f3e1c07c59cd0ac0426f26eb,28a5a7f03e2970d2f3e1c07c59cd0ac0426f26eb,a05b_ncloc_vietanhdev_anylabeling_28a5a7f03e29,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__vietanhdev_anylabeling__28a5a7f03e29__c21d78da75b1c744.log,2026-08-02T22:00:53+00:00,2026-08-02T22:01:12+00:00,success,158185.0,a140f93c-5fa0-4ce0-8d68-e9dd871c43b3,32c3573e-af38-4f43-a2f0-97621648bf2c,,ready
26,treatment,treatment,wdm0006/elote,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_elote,6,2024-01,2024-06,treatment__wdm0006_elote__d7f009046881__e170ddd1ef506321,d7f0090468812aba9977593a4ce56bbefeb783c1,d7f0090468812aba9977593a4ce56bbefeb783c1,a05b_ncloc_wdm0006_elote_d7f009046881,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__wdm0006_elote__d7f009046881__e170ddd1ef506321.log,2026-08-02T22:01:12+00:00,2026-08-02T22:01:25+00:00,success,906.0,c52b4549-7d8f-49fa-8e4a-dee84afdb744,d9e0adc3-a545-4b76-8618-a8bf3b2e555c,,ready
27,treatment,treatment,wdm0006/git-pandas,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_git-pandas,6,2024-01,2024-06,treatment__wdm0006_git-pandas__35caa2d87006__9887b14aa380170b,35caa2d870061adae4d631e67e4d40bd91185f35,35caa2d870061adae4d631e67e4d40bd91185f35,a05b_ncloc_wdm0006_git-pandas_35caa2d87006,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__wdm0006_git-pandas__35caa2d87006__9887b14aa380170b.log,2026-08-02T22:01:25+00:00,2026-08-02T22:01:39+00:00,success,1819.0,df76ab04-e35a-4515-bf51-a5eff8edff07,85b12eff-0525-447a-bc2c-1c8256d074a2,,ready
28,treatment,treatment,wdm0006/pygeohash,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_pygeohash,5,2024-01,2024-05,treatment__wdm0006_pygeohash__4caae880fee8__525408e94a564bb8,4caae880fee8358c5867e1d82fe1c7c5950e0df3,4caae880fee8358c5867e1d82fe1c7c5950e0df3,a05b_ncloc_wdm0006_pygeohash_4caae880fee8,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/treatment__wdm0006_pygeohash__4caae880fee8__525408e94a564bb8.log,2026-08-02T22:01:39+00:00,2026-08-02T22:01:52+00:00,success,532.0,ee01ffad-53e5-4955-8b4c-0c834302560c,dad8ee9d-3b73-4f96-843e-c7809222c012,,ready
