manifest_order,dataset_source,scope_role,repo_name,clone_path,affected_repo_month_rows,first_affected_month,last_affected_month,snapshot_key,commit_sha,project_version,project_key
16,control,control,saucer-man/qq_msg_decode,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/saucer-man_qq_msg_decode,5,2024-01,2024-05,control__saucer-man_qq_msg_decode__ee62f41bac5b__da419abd8acb9c96,ee62f41bac5b3ff4550250ef11bd186f3ee7a4be,ee62f41bac5b3ff4550250ef11bd186f3ee7a4be,a05b_ncloc_saucer-man_qq_msg_decode_ee62f41bac5b
17,control,control,wasilukm/hoymiles-mqtt,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/wasilukm_hoymiles-mqtt,1,2024-01,2024-01,control__wasilukm_hoymiles-mqtt__0c5d55a64abb__a91935d662a6bcc1,0c5d55a64abb2d49b8e21b9fe01011e2ba65fe65,0c5d55a64abb2d49b8e21b9fe01011e2ba65fe65,a05b_ncloc_wasilukm_hoymiles-mqtt_0c5d55a64abb
18,control,control,weizequan/TASHR,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/weizequan_TASHR,2,2024-01,2024-02,control__weizequan_TASHR__7484e548f438__62003a006754769e,7484e548f438f0ccf29562f7fafb08ed4bea7b42,7484e548f438f0ccf29562f7fafb08ed4bea7b42,a05b_ncloc_weizequan_TASHR_7484e548f438
19,treatment,treatment,cgevans/qslib,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cgevans_qslib,1,2024-01,2024-01,treatment__cgevans_qslib__f2495546efad__9d077bb9dba067bf,f2495546efada29427371a14b4caeddd5e0a0421,f2495546efada29427371a14b4caeddd5e0a0421,a05b_ncloc_cgevans_qslib_f2495546efad
20,treatment,treatment,ericmjl/pyds-cli,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,1,2024-01,2024-01,treatment__ericmjl_pyds-cli__c1c59db5b5a5__5ebb125a1744e1b4,c1c59db5b5a58036cd0d69eba0377388b7c09be6,c1c59db5b5a58036cd0d69eba0377388b7c09be6,a05b_ncloc_ericmjl_pyds-cli_c1c59db5b5a5
21,treatment,treatment,lss233/kirara-ai,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/lss233_kirara-ai,1,2024-01,2024-01,treatment__lss233_kirara-ai__742e32566be6__59fe36aa5b4ea124,742e32566be60609889fd085b817ea2db7e1eae4,742e32566be60609889fd085b817ea2db7e1eae4,a05b_ncloc_lss233_kirara-ai_742e32566be6
22,treatment,treatment,namuan/trading-utils,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/namuan_trading-utils,1,2024-01,2024-01,treatment__namuan_trading-utils__731168eed0c5__1b30fa308e699ddb,731168eed0c56f5f5bd78fc28c02e52dbbac0d55,731168eed0c56f5f5bd78fc28c02e52dbbac0d55,a05b_ncloc_namuan_trading-utils_731168eed0c5
23,treatment,treatment,nextml-code/pytorch-datastream,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/nextml-code_pytorch-datastream,7,2024-01,2024-07,treatment__nextml-code_pytorch-datastream__b6b326aa486c__98f70d78b66e3064,b6b326aa486c4f4f41e79832357641da56e79768,b6b326aa486c4f4f41e79832357641da56e79768,a05b_ncloc_nextml-code_pytorch-datastream_b6b326aa486c
24,treatment,treatment,terryyin/lizard,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/terryyin_lizard,3,2024-01,2024-03,treatment__terryyin_lizard__3f4c17fdfd62__a0c71ca1aeb7fcc7,3f4c17fdfd625d7c6860379a77af56813e901026,3f4c17fdfd625d7c6860379a77af56813e901026,a05b_ncloc_terryyin_lizard_3f4c17fdfd62
25,treatment,treatment,vietanhdev/anylabeling,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/vietanhdev_anylabeling,5,2024-01,2024-05,treatment__vietanhdev_anylabeling__28a5a7f03e29__c21d78da75b1c744,28a5a7f03e2970d2f3e1c07c59cd0ac0426f26eb,28a5a7f03e2970d2f3e1c07c59cd0ac0426f26eb,a05b_ncloc_vietanhdev_anylabeling_28a5a7f03e29
26,treatment,treatment,wdm0006/elote,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_elote,6,2024-01,2024-06,treatment__wdm0006_elote__d7f009046881__e170ddd1ef506321,d7f0090468812aba9977593a4ce56bbefeb783c1,d7f0090468812aba9977593a4ce56bbefeb783c1,a05b_ncloc_wdm0006_elote_d7f009046881
27,treatment,treatment,wdm0006/git-pandas,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_git-pandas,6,2024-01,2024-06,treatment__wdm0006_git-pandas__35caa2d87006__9887b14aa380170b,35caa2d870061adae4d631e67e4d40bd91185f35,35caa2d870061adae4d631e67e4d40bd91185f35,a05b_ncloc_wdm0006_git-pandas_35caa2d87006
28,treatment,treatment,wdm0006/pygeohash,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_pygeohash,5,2024-01,2024-05,treatment__wdm0006_pygeohash__4caae880fee8__525408e94a564bb8,4caae880fee8358c5867e1d82fe1c7c5950e0df3,4caae880fee8358c5867e1d82fe1c7c5950e0df3,a05b_ncloc_wdm0006_pygeohash_4caae880fee8
