repo_name,time,metric,our_modified_value,paper_value,diff_our_minus_paper,abs_diff
zauberzeug/nicegui,2025-04,code_smells,24656.0,33270.0,-8614.0,8614.0
lancedb/lancedb,2024-04,ncloc,23347.0,15470.0,7877.0,7877.0
zauberzeug/nicegui,2025-02,code_smells,40937.0,33269.0,7668.0,7668.0
zauberzeug/nicegui,2025-03,code_smells,40938.0,33270.0,7668.0,7668.0
zauberzeug/nicegui,2025-01,code_smells,40935.0,33269.0,7666.0,7666.0
zauberzeug/nicegui,2024-12,code_smells,40932.0,33267.0,7665.0,7665.0
zauberzeug/nicegui,2024-11,code_smells,40919.0,33267.0,7652.0,7652.0
cgevans/qslib,2025-05,ncloc,1243.0,8454.0,-7211.0,7211.0
VirtualFlow/VFVS,2024-01,ncloc,1112.0,8129.0,-7017.0,7017.0
PostHog/posthog,2025-04,cognitive_complexity,76027.0,69756.0,6271.0,6271.0
getsentry/sentry,2025-02,technical_debt,113569.0,107481.0,6088.0,6088.0
PostHog/posthog,2024-05,technical_debt,39879.0,45693.0,-5814.0,5814.0
ethyca/fides,2025-08,technical_debt,18919.0,24610.0,-5691.0,5691.0
cgevans/qslib,2025-08,ncloc,14026.0,8397.0,5629.0,5629.0
PostHog/posthog,2024-04,technical_debt,38646.0,44242.0,-5596.0,5596.0
PostHog/posthog,2024-03,technical_debt,38010.0,43584.0,-5574.0,5574.0
PostHog/posthog,2024-02,technical_debt,37324.0,42798.0,-5474.0,5474.0
PostHog/posthog,2024-06,technical_debt,42255.0,47704.0,-5449.0,5449.0
PostHog/posthog,2025-04,technical_debt,75771.0,70394.0,5377.0,5377.0
ethyca/fides,2025-07,technical_debt,17070.0,22434.0,-5364.0,5364.0
PostHog/posthog,2024-07,technical_debt,42646.0,47888.0,-5242.0,5242.0
LearningCircuit/local-deep-research,2025-08,technical_debt,14985.0,9777.0,5208.0,5208.0
cgevans/qslib,2025-03,ncloc,13625.0,8454.0,5171.0,5171.0
cgevans/qslib,2025-04,ncloc,13625.0,8454.0,5171.0,5171.0
cgevans/qslib,2025-06,ncloc,13524.0,8353.0,5171.0,5171.0
cgevans/qslib,2025-07,ncloc,13566.0,8395.0,5171.0,5171.0
ethyca/fides,2025-06,technical_debt,15938.0,21061.0,-5123.0,5123.0
terryyin/lizard,2025-04,technical_debt,13701.0,8617.0,5084.0,5084.0
terryyin/lizard,2025-08,technical_debt,13829.0,8745.0,5084.0,5084.0
terryyin/lizard,2025-06,technical_debt,13824.0,8745.0,5079.0,5079.0
terryyin/lizard,2025-07,technical_debt,13824.0,8745.0,5079.0,5079.0
terryyin/lizard,2025-03,technical_debt,13691.0,8616.0,5075.0,5075.0
terryyin/lizard,2025-05,technical_debt,13789.0,8715.0,5074.0,5074.0
terryyin/lizard,2024-04,technical_debt,13537.0,8464.0,5073.0,5073.0
terryyin/lizard,2024-08,technical_debt,13537.0,8464.0,5073.0,5073.0
terryyin/lizard,2024-10,technical_debt,13554.0,8481.0,5073.0,5073.0
terryyin/lizard,2024-12,technical_debt,13557.0,8489.0,5068.0,5068.0
terryyin/lizard,2025-01,technical_debt,13646.0,8578.0,5068.0,5068.0
terryyin/lizard,2025-02,technical_debt,13655.0,8596.0,5059.0,5059.0
LearningCircuit/local-deep-research,2025-07,technical_debt,14630.0,9705.0,4925.0,4925.0
getsentry/sentry,2024-05,technical_debt,110522.0,105715.0,4807.0,4807.0
utensils/mcp-nixos,2025-04,ncloc,18081.0,13451.0,4630.0,4630.0
getsentry/sentry,2024-04,technical_debt,97156.0,92558.0,4598.0,4598.0
PostHog/posthog,2024-01,technical_debt,36282.0,40854.0,-4572.0,4572.0
PromtEngineer/localGPT,2024-10,ncloc,46375.0,41851.0,4524.0,4524.0
PromtEngineer/localGPT,2024-11,ncloc,46375.0,41851.0,4524.0,4524.0
PromtEngineer/localGPT,2025-02,ncloc,46375.0,41851.0,4524.0,4524.0
PromtEngineer/localGPT,2025-03,ncloc,46375.0,41851.0,4524.0,4524.0
PromtEngineer/localGPT,2024-01,ncloc,46140.0,41654.0,4486.0,4486.0
PromtEngineer/localGPT,2024-02,ncloc,46162.0,41676.0,4486.0,4486.0
PromtEngineer/localGPT,2024-05,ncloc,46183.0,41697.0,4486.0,4486.0
PromtEngineer/localGPT,2024-08,ncloc,46183.0,41697.0,4486.0,4486.0
PromtEngineer/localGPT,2024-09,ncloc,46183.0,41697.0,4486.0,4486.0
getsentry/sentry,2024-09,technical_debt,114616.0,110298.0,4318.0,4318.0
PostHog/posthog,2024-08,technical_debt,45818.0,50130.0,-4312.0,4312.0
getsentry/sentry,2024-06,technical_debt,109488.0,105176.0,4312.0,4312.0
getsentry/sentry,2024-03,technical_debt,94343.0,90060.0,4283.0,4283.0
getsentry/sentry,2025-01,technical_debt,107633.0,103379.0,4254.0,4254.0
getsentry/sentry,2024-07,technical_debt,111805.0,107637.0,4168.0,4168.0
PostHog/posthog,2025-08,cognitive_complexity,97541.0,93378.0,4163.0,4163.0
getsentry/sentry,2024-12,technical_debt,110727.0,106610.0,4117.0,4117.0
getsentry/sentry,2024-02,technical_debt,94216.0,90115.0,4101.0,4101.0
getsentry/sentry,2024-08,technical_debt,113523.0,109444.0,4079.0,4079.0
getsentry/sentry,2024-10,technical_debt,113315.0,109276.0,4039.0,4039.0
ethyca/fides,2024-08,technical_debt,11203.0,15187.0,-3984.0,3984.0
cgevans/qslib,2025-02,ncloc,4761.0,8741.0,-3980.0,3980.0
getsentry/sentry,2024-01,technical_debt,94834.0,90882.0,3952.0,3952.0
zauberzeug/nicegui,2025-05,code_smells,24657.0,20715.0,3942.0,3942.0
zauberzeug/nicegui,2025-06,code_smells,24656.0,20717.0,3939.0,3939.0
zauberzeug/nicegui,2025-07,code_smells,24672.0,20733.0,3939.0,3939.0
zauberzeug/nicegui,2025-08,code_smells,24674.0,20735.0,3939.0,3939.0
getsentry/sentry,2024-11,technical_debt,112769.0,108877.0,3892.0,3892.0
keephq/keep,2025-04,technical_debt,21888.0,18018.0,3870.0,3870.0
zauberzeug/nicegui,2025-04,bugs,602.0,4466.0,-3864.0,3864.0
keephq/keep,2025-03,technical_debt,21040.0,17207.0,3833.0,3833.0
keephq/keep,2025-06,technical_debt,23418.0,19588.0,3830.0,3830.0
PostHog/posthog,2024-09,technical_debt,48645.0,52474.0,-3829.0,3829.0
keephq/keep,2025-07,technical_debt,23538.0,19748.0,3790.0,3790.0
keephq/keep,2025-08,technical_debt,23750.0,19975.0,3775.0,3775.0
keephq/keep,2025-05,technical_debt,22751.0,19006.0,3745.0,3745.0
PostHog/posthog,2025-08,technical_debt,86952.0,90684.0,-3732.0,3732.0
keephq/keep,2025-02,technical_debt,18900.0,15267.0,3633.0,3633.0
PostHog/posthog,2025-07,cognitive_complexity,90037.0,86434.0,3603.0,3603.0
ysj9909/SHViT,2024-04,technical_debt,3967.0,387.0,3580.0,3580.0
ysj9909/SHViT,2024-05,technical_debt,3967.0,387.0,3580.0,3580.0
ysj9909/SHViT,2024-06,technical_debt,3967.0,387.0,3580.0,3580.0
whiteducksoftware/flock,2025-06,ncloc,33799.0,30227.0,3572.0,3572.0
whiteducksoftware/flock,2025-05,ncloc,33737.0,30218.0,3519.0,3519.0
PostHog/posthog,2025-06,cognitive_complexity,85016.0,81500.0,3516.0,3516.0
PostHog/posthog,2024-10,technical_debt,50041.0,53472.0,-3431.0,3431.0
TextGeneratorio/text-generator.io,2025-08,technical_debt,23942.0,20570.0,3372.0,3372.0
zhipeixu/FakeShield,2025-02,technical_debt,10257.0,6893.0,3364.0,3364.0
zhipeixu/FakeShield,2025-03,technical_debt,10257.0,6893.0,3364.0,3364.0
zhipeixu/FakeShield,2025-04,technical_debt,10257.0,6893.0,3364.0,3364.0
zhipeixu/FakeShield,2025-05,technical_debt,10257.0,6893.0,3364.0,3364.0
zhipeixu/FakeShield,2025-06,technical_debt,10257.0,6893.0,3364.0,3364.0
PostHog/posthog,2025-06,technical_debt,78929.0,82206.0,-3277.0,3277.0
trycua/cua,2025-04,ncloc,14394.0,11136.0,3258.0,3258.0
ethyca/fides,2024-06,technical_debt,11780.0,15037.0,-3257.0,3257.0
zauberzeug/nicegui,2024-07,code_smells,22603.0,19352.0,3251.0,3251.0
zauberzeug/nicegui,2024-06,code_smells,22600.0,19352.0,3248.0,3248.0
zauberzeug/nicegui,2024-05,code_smells,22595.0,19350.0,3245.0,3245.0
zauberzeug/nicegui,2024-04,code_smells,22586.0,19343.0,3243.0,3243.0
zauberzeug/nicegui,2024-03,code_smells,22582.0,19341.0,3241.0,3241.0
keephq/keep,2024-10,technical_debt,14464.0,11247.0,3217.0,3217.0
zauberzeug/nicegui,2024-02,code_smells,22539.0,19325.0,3214.0,3214.0
VirtualFlow/VFVS,2024-01,technical_debt,370.0,3560.0,-3190.0,3190.0
ethyca/fides,2024-07,technical_debt,12092.0,15274.0,-3182.0,3182.0
TextGeneratorio/text-generator.io,2025-07,technical_debt,23465.0,20329.0,3136.0,3136.0
zauberzeug/nicegui,2024-01,code_smells,22367.0,19235.0,3132.0,3132.0
keephq/keep,2025-01,technical_debt,16772.0,13681.0,3091.0,3091.0
PostHog/posthog,2025-07,technical_debt,81711.0,84796.0,-3085.0,3085.0
ResearchHub/researchhub-backend,2025-04,ncloc,83901.0,80840.0,3061.0,3061.0
PostHog/posthog,2025-05,cognitive_complexity,79996.0,76949.0,3047.0,3047.0
allthingslinux/tux,2025-08,ncloc,21486.0,18494.0,2992.0,2992.0
keephq/keep,2024-09,technical_debt,12985.0,10014.0,2971.0,2971.0
ethyca/fides,2024-05,technical_debt,11508.0,14472.0,-2964.0,2964.0
yeagerai/genlayer-studio,2025-04,ncloc,20375.0,17414.0,2961.0,2961.0
samuelgursky/davinci-resolve-mcp,2025-03,ncloc,10768.0,7828.0,2940.0,2940.0
samuelgursky/davinci-resolve-mcp,2025-04,ncloc,10768.0,7828.0,2940.0,2940.0
LearningCircuit/local-deep-research,2025-03,ncloc,15051.0,12126.0,2925.0,2925.0
getsentry/sentry,2025-06,technical_debt,123673.0,120791.0,2882.0,2882.0
ethyca/fides,2024-04,technical_debt,10814.0,13683.0,-2869.0,2869.0
getsentry/sentry,2025-07,technical_debt,243108.0,240292.0,2816.0,2816.0
keephq/keep,2024-12,technical_debt,15391.0,12619.0,2772.0,2772.0
keephq/keep,2024-11,technical_debt,14922.0,12188.0,2734.0,2734.0
LearningCircuit/local-deep-research,2025-06,technical_debt,10011.0,7288.0,2723.0,2723.0
Anemll/Anemll,2025-07,technical_debt,2092.0,4799.0,-2707.0,2707.0
TextGeneratorio/text-generator.io,2025-06,technical_debt,22971.0,20281.0,2690.0,2690.0
TextGeneratorio/text-generator.io,2025-05,technical_debt,23249.0,20589.0,2660.0,2660.0
TextGeneratorio/text-generator.io,2025-04,technical_debt,23207.0,20554.0,2653.0,2653.0
TextGeneratorio/text-generator.io,2024-01,technical_debt,24517.0,21904.0,2613.0,2613.0
TextGeneratorio/text-generator.io,2024-02,technical_debt,24517.0,21904.0,2613.0,2613.0
TextGeneratorio/text-generator.io,2024-05,technical_debt,24527.0,21914.0,2613.0,2613.0
TextGeneratorio/text-generator.io,2024-07,technical_debt,24522.0,21909.0,2613.0,2613.0
TextGeneratorio/text-generator.io,2024-08,technical_debt,24557.0,21944.0,2613.0,2613.0
TextGeneratorio/text-generator.io,2024-01,ncloc,75529.0,78124.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2024-02,ncloc,75529.0,78124.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2024-05,ncloc,75553.0,78148.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2024-07,ncloc,75553.0,78148.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2024-08,ncloc,75862.0,78457.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2024-11,ncloc,59072.0,61667.0,-2595.0,2595.0
TextGeneratorio/text-generator.io,2024-12,ncloc,59067.0,61662.0,-2595.0,2595.0
