paper_key_found,join_repo_name,join_time,repo_name,time,is_treatment,event,post_event,time_to_event,cursor,commits,lines_added,contributors,dataset_source,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,cognitive_complexity,technical_debt,stars,issues,issue_comments,age,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,other_agents,high_confidence
0,Elevate-Code/better-voice-typing,2025-08,Elevate-Code/better-voice-typing,2025-08,1,2024-10,1,10.0,False,2,486,1,treatment,1824.0,0.0,0.0,24.0,0.0,413.0,144.0,,,,,,,,,
0,OpenMOSS/Language-Model-SAEs,2025-08,OpenMOSS/Language-Model-SAEs,2025-08,1,2024-12,1,8.0,False,31,43124,2,treatment,44912.0,83.0,8.0,4293.0,3.7,16606.0,22598.0,,,,,,,,,
0,OpenSPP/openspp-modules,2025-08,OpenSPP/openspp-modules,2025-08,1,2025-03,1,5.0,False,17,6952,1,treatment,101618.0,167.0,9.0,636.0,24.8,4944.0,3619.0,,,,,,,,,
0,sirkirby/unifi-network-rules,2025-08,sirkirby/unifi-network-rules,2025-08,1,2025-03,1,5.0,False,3,1193,2,treatment,9411.0,12.0,0.0,165.0,0.2,3670.0,2785.0,,,,,,,,,
0,vietanhdev/anylabeling,2025-07,vietanhdev/anylabeling,2025-07,1,2025-03,1,4.0,False,3,247,1,treatment,36542.0,4.0,0.0,59.0,0.8,1599.0,608.0,,,,,,,,,
0,JustinSparrrow/IOOI-EmotionEgg,2025-03,JustinSparrrow/IOOI-EmotionEgg,2025-03,0,,0,,False,8,2872,3,control,1538.0,0.0,10.0,17.0,0.0,72.0,33.0,,,,,,,,,
0,JustinSparrrow/IOOI-EmotionEgg,2025-04,JustinSparrrow/IOOI-EmotionEgg,2025-04,0,,0,,False,35,1050,4,control,1887.0,0.0,12.0,34.0,0.0,101.0,88.0,,,,,,,,,
0,Simatwa/free-proxies,2024-06,Simatwa/free-proxies,2024-06,0,,0,,False,1353,1398276,1,control,362.0,1.0,0.0,8.0,0.0,61.0,45.0,,,,,,,,,
0,Simatwa/free-proxies,2024-07,Simatwa/free-proxies,2024-07,0,,0,,False,1390,1667851,1,control,362.0,1.0,0.0,8.0,0.0,61.0,45.0,,,,,,,,,
0,Simatwa/free-proxies,2024-08,Simatwa/free-proxies,2024-08,0,,0,,False,1393,1761852,1,control,362.0,1.0,0.0,8.0,0.0,61.0,45.0,,,,,,,,,
0,Simatwa/free-proxies,2024-09,Simatwa/free-proxies,2024-09,0,,0,,False,1325,1595037,1,control,362.0,1.0,0.0,8.0,0.0,61.0,45.0,,,,,,,,,
0,Simatwa/free-proxies,2024-10,Simatwa/free-proxies,2024-10,0,,0,,False,1353,1492028,2,control,362.0,1.0,0.0,8.0,0.0,61.0,45.0,,,,,,,,,
0,Simatwa/free-proxies,2024-11,Simatwa/free-proxies,2024-11,0,,0,,False,544,593555,3,control,362.0,1.0,0.0,8.0,0.0,61.0,45.0,,,,,,,,,
0,Simatwa/free-proxies,2025-08,Simatwa/free-proxies,2025-08,0,,0,,False,1,4,1,control,362.0,1.0,0.0,8.0,0.0,61.0,45.0,,,,,,,,,
0,monero-project/meta,2025-05,monero-project/meta,2025-05,0,,0,,False,1,6,1,control,8.0,0.0,0.0,1.0,0.0,1.0,5.0,,,,,,,,,
