dataset_source,rows,repos,mean_log_static_warnings,mean_log_duplicate_line_density,mean_log_code_complexity,mean_ncloc,mean_age,mean_contributors,mean_stars,mean_issues
treatment,842,100,4.6360287348229,1.12658934600706,6.77255392087024,56002.8871733967,4.98164931793211,1.59377956735283,2.23502602016109,1.31951849902872
control,749,117,4.30485609493443,1.40452046905104,6.16641899632942,12804.17623498,4.69897713887654,1.2919268275323,1.60010039282028,1.06205958186967
