dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.434840425531915,0.787409368091763,0.521147418191736,0.538282387726763,0.502764207004944,2.84209052561109,6.78725604489432,17487.1329787234,80-89,80,90,bounded_band,full,paper,calendar_month,all,strict_band_80_89_full_paper_ncloc_calendar_month_all
treatment,844,100,0.606635071090047,1.32692703662577,0.973356895078722,0.92906604447368,0.528951169693219,3.3907790093758,8.05450751245183,99249.2168246446,80-89,80,90,bounded_band,full,paper,calendar_month,all,strict_band_80_89_full_paper_ncloc_calendar_month_all
