dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,398,86,1,2.00777551410701,1.11545088496129,1.63842982403019,0.34884627159083,3.32883044779167,8.24049825462903,19630.9572864322,width20_80_139,post_hoc_exploratory_sensitivity,20,100-119,100,120,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_100_119_ratio_paper_ncloc_calendar_month_all
treatment,573,92,1,2.51325631283839,1.61456729018151,2.07594415013276,0.364657012679035,3.96622081444628,9.14329846806742,140613.794066318,width20_80_139,post_hoc_exploratory_sensitivity,20,100-119,100,120,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_100_119_ratio_paper_ncloc_calendar_month_all
