dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.428191489361702,0.703894466221605,0.283841307317336,0.592427197897044,0.266305342264906,2.84209052561109,6.78725604489432,17487.1329787234,130-139,130,140,bounded_band,full,paper,calendar_month,all,strict_band_130_139_full_paper_ncloc_calendar_month_all
treatment,844,100,0.62085308056872,1.27719907806124,0.598135663968194,1.12135613952085,0.240925884545609,3.3907790093758,8.05450751245183,99249.2168246446,130-139,130,140,bounded_band,full,paper,calendar_month,all,strict_band_130_139_full_paper_ncloc_calendar_month_all
