outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,specification,specification_label,ncloc_column,sample_rows,sample_repositories,estimate_percentage_points,conf_low_percentage_points,conf_high_percentage_points
agc_top_level_block_ratio,AGC-like Top-Level Block Share,2,-0.0102718089525796,-0.0334185375551286,0.0128749196499694,0.0118095554094638,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1568,214,-1.02718089525796,-3.34185375551286,1.28749196499694
agc_top_level_block_ratio,AGC-like Top-Level Block Share,3,0.00712194229847922,-0.0145626746682924,0.0288065592652508,0.0110635800850876,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1568,214,0.712194229847922,-1.45626746682924,2.88065592652508
agc_top_level_block_ratio,AGC-like Top-Level Block Share,4,0.00341901290135578,-0.0217054091971765,0.0285434349998881,0.0128185827033328,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1568,214,0.341901290135578,-2.17054091971765,2.85434349998881
agc_top_level_block_ratio,AGC-like Top-Level Block Share,5,0.00278693622483365,-0.0292429124682554,0.0348167849179227,0.0163417595372903,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1568,214,0.278693622483365,-2.92429124682554,3.48167849179227
agc_top_level_block_ratio,AGC-like Top-Level Block Share,6,-0.0083071479557027,-0.0627710200514169,0.0461567241400115,0.0277876898447521,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1568,214,-0.83071479557027,-6.27710200514169,4.61567241400115
agc_function_block_ratio,AGC-like Function Block Share,-6,-0.010781277301933,-0.0218230765847578,0.00026052198089171,0.00563357106266569,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-1.0781277301933,-2.18230765847578,0.026052198089171
agc_function_block_ratio,AGC-like Function Block Share,-5,-0.00684019469739688,-0.0213480469517238,0.00766765755693007,0.0074019654358811,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-0.684019469739688,-2.13480469517238,0.766765755693007
agc_function_block_ratio,AGC-like Function Block Share,-4,-0.0198328108933645,-0.0442146266380402,0.0045490048513112,0.0124397019105488,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-1.98328108933645,-4.42146266380402,0.45490048513112
agc_function_block_ratio,AGC-like Function Block Share,-3,-0.00681003230412526,-0.0406330568785153,0.0270129922702647,0.0172566451910153,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-0.681003230412526,-4.06330568785153,2.70129922702647
agc_function_block_ratio,AGC-like Function Block Share,-2,-0.0226191808260162,-0.0444716250380481,-0.000766736613984412,0.0111492062306285,,TRUE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1554,211,-2.26191808260162,-4.44716250380481,-0.0766736613984412
