check,value
panel_label,strict
rows,1633
repositories,220
treatment_rows,853
control_rows,780
treatment_repositories,100
control_repositories,120
duplicate_keys,0
time_id_missing,0
treatment_event_id_missing,0
control_event_id_nonzero,0
is_treatment_post_event_mismatch,0
time_to_event_mismatch,0
top_level_count_mismatch,0
function_count_mismatch,0
class_count_mismatch,0
top_level_ratio_mismatch,0
function_ratio_mismatch,0
class_ratio_mismatch,0
ncloc_paper_nonmissing,1596
ncloc_python_snapshot_nonmissing,1633
upstream_validation_status,PASS
upstream_checks_failed,0
