treatment_repo,control_repo,control_rank,matched_period,matching_propensity_score,repo_primary_language,event_month,adoption_month,match_status,month_difference,target_dir,overlap_current_treatment_sample,overlap_full_adopter_population
1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,1,202407,0.0066917276040948,Python,2024-08,2024-08,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,False,False
1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2,202407,0.0066917276040948,Python,2024-08,2024-08,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,False,False
1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,3,202407,0.0066917276040948,Python,2024-08,2024-08,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,False,False
ericmjl/llamabot,stakewise/v3-operator,1,202408,0.030244593259856,Python,2024-09,2024-09,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_llamabot,False,False
ericmjl/llamabot,MalevichAI/malevich,2,202408,0.030244593259856,Python,2024-09,2024-09,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_llamabot,False,False
ericmjl/llamabot,FaceAdapter/Face-Adapter,3,202408,0.030244593259856,Python,2024-09,2024-09,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_llamabot,False,False
raphaelmansuy/code2prompt,OSU-NLP-Group/HippoRAG,1,202408,0.2786058832470743,Python,2024-09,2024-09,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_code2prompt,False,False
raphaelmansuy/code2prompt,odoo/industry,2,202408,0.2786058832470743,Python,2024-09,2024-09,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_code2prompt,False,False
raphaelmansuy/code2prompt,thefatedefeater/V2ray-Config,3,202408,0.2786058832470743,Python,2024-09,2024-09,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_code2prompt,False,False
raphaelmansuy/iteration_of_tought,MingSun-Tse/LightAvatar-TensorFlow,1,202408,0.0199226183490069,Python,2024-09,2024-09,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_iteration_of_tought,False,False
raphaelmansuy/iteration_of_tought,FMInference/FlexiGen,2,202408,0.0199226183490069,Python,2024-09,2024-09,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_iteration_of_tought,False,False
raphaelmansuy/iteration_of_tought,dottxt-ai/prompts,3,202408,0.0199226183490069,Python,2024-09,2024-09,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_iteration_of_tought,False,False
Elevate-Code/better-voice-typing,loml13yyy/AtlassianConfluence-RCE,1,202409,0.0212830932484271,Python,2024-10,2024-10,matched,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,False,False
