dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.400265957446809,0.731355010618886,0.431554717724128,0.549301904116697,0.406909356300639,2.84209052561109,6.78725604489432,17487.1329787234,90-99,90,100,bounded_band,full,paper,calendar_month,all,strict_band_90_99_full_paper_ncloc_calendar_month_all
treatment,844,100,0.623222748815166,1.33606305033202,0.888926461955307,1.00478299779278,0.442560832109396,3.3907790093758,8.05450751245183,99249.2168246446,90-99,90,100,bounded_band,full,paper,calendar_month,all,strict_band_90_99_full_paper_ncloc_calendar_month_all
