dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,307,82,1,1.91584991160389,1.67144831838264,0.835019902876758,0.772333021609345,3.42170603525608,8.39550104628851,23987.0879478827,50-59,50,60,bounded_band,ratio,paper,calendar_month,all,strict_band_50_59_ratio_paper_ncloc_calendar_month_all
treatment,498,87,1,2.21567177488734,2.03185642486027,0.877468379416843,0.825044790927897,4.14150115273941,9.33154519620535,157986.927710843,50-59,50,60,bounded_band,ratio,paper,calendar_month,all,strict_band_50_59_ratio_paper_ncloc_calendar_month_all
