dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_ncloc
control,752,117,0.759308510638298,2.90374796668177,1.84514736134635,2.70453187874848,0.230232390782049,17487.1329787234
treatment,844,100,0.84478672985782,3.95976491024768,2.72230109148912,3.72463841215046,0.236068819874868,99249.2168246446
