dataset_source,repo_name,repo_dir,candidate_ref,candidate_priority,candidate_tip_commit,candidate_kind,candidate_revision_count,candidate_contains_all_panel_anchors,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,selected,selection_status
control,LGro/PyAPSI,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LGro_PyAPSI,HEAD,1,65c8dca1e80628d000cb4df0a4514254573c0b91,head,1,1,83,1,1,1,1,1,perfect_panel_match
control,LuneMods/KCD2-Blender-Toolkit,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LuneMods_KCD2-Blender-Toolkit,HEAD,1,c335231561e1327a43f7aac66357232fa83ee545,head,1,1,36,2,2,2,2,1,perfect_panel_match
control,MIT-Emerging-Talent/ET6-edXtras,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,HEAD,1,298895297e3070065b1d3a8f8b0ad1e0b80e2dfa,head,1,1,28,3,3,3,3,1,perfect_panel_match
control,Makopolo/megascan_houdini20.0_USD_plugin,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Makopolo_megascan_houdini20.0_USD_plugin,HEAD,1,8136e2577c68bb305b707dba182a17b247d1f842,head,1,1,31,3,3,3,3,1,perfect_panel_match
control,MalevichAI/malevich,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,HEAD,1,18e8b19a7506c7b51453be5726f3ad733279f7fe,head,1,1,682,11,11,11,11,1,perfect_panel_match
control,MingSun-Tse/LightAvatar-TensorFlow,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MingSun-Tse_LightAvatar-TensorFlow,HEAD,1,3994bf5aa77460a57e943805ace5ca2d2d0b287f,head,1,1,12,3,3,3,3,1,perfect_panel_match
control,MrTimonM/Arichain-Bot,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MrTimonM_Arichain-Bot,HEAD,1,cafdbd057dca6e6a29a6079472ea502b67e6a9af,head,1,1,10,1,1,1,1,1,perfect_panel_match
control,NVIDIA/cuEquivariance,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NVIDIA_cuEquivariance,HEAD,1,a5f9012984858e157f64eb1c424d8a7b1ad5873f,head,1,1,188,10,10,10,10,1,perfect_panel_match
control,NiceRingNode/LGGPT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NiceRingNode_LGGPT,HEAD,1,ce5d480380c407d687cb5bab0701cb1c33fe4238,head,1,1,16,5,5,5,5,1,perfect_panel_match
control,OSU-NLP-Group/HippoRAG,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/OSU-NLP-Group_HippoRAG,HEAD,1,ef2f14c4f254f11ac29f9395f262466ad1bb4d10,head,1,1,143,11,11,11,11,1,perfect_panel_match
