dataset_source,repo_name,month,comparison_status,history_ref,panel_commits,selected_commits,count_delta,month_end_commit,reproduced_latest_commit,selected_count_matches_panel,selected_latest_matches_panel
control,peter279k/cdc-data-mirror,2024-12,committer_month_count_mismatch,panel_anchor_union,3725,3720,-5,e4b0e9c54c4ad35b5f1cbeafa60f45d322045619,ceeea5e67785a548672c09116ac66dc9771c8e58,0,0
control,peter279k/cdc-data-mirror,2025-01,committer_month_count_mismatch,panel_anchor_union,4072,4070,-2,e2d8cc6cf4dbc764e160ff08fa2672e8770b79c3,f73fbd5e345f4722eb64109b0b946237868570b5,0,0
control,peter279k/cdc-data-mirror,2025-02,committer_month_count_mismatch,panel_anchor_union,3619,3620,1,50beb9e349a35f2a08acaf27ce7b67111ae56966,1e11b0dce7d3424ef0b2e6e23385cffddcb6e963,0,0
control,peter279k/cdc-data-mirror,2025-03,committer_month_count_mismatch,panel_anchor_union,3865,3874,9,2d163a8262fd570b4c266f6a43b78e30b5d176fe,c5494969e048254edb79107865f4ce631a6f893f,0,0
control,peter279k/cdc-data-mirror,2025-04,committer_month_count_mismatch,panel_anchor_union,3462,3463,1,1d4bc8132fb44b2cf1bc4ab99532f1e16d6c4491,f3c8901a2a8c5937470b2e4c01217874c81ed635,0,0
control,peter279k/cdc-data-mirror,2025-05,committer_month_count_mismatch,panel_anchor_union,3604,3608,4,efb79aa8aad8fd0a21dd0686d0e527bbd6be400e,23b5986886fd02fe40563ec1307526faee9ddbfc,0,0
control,peter279k/cdc-data-mirror,2025-06,committer_month_count_mismatch,panel_anchor_union,3302,3301,-1,96b108c46e820b7e111d226b8fb3b98bffe162cf,efb58df6cd8dfc7f0ad1468f006c41b87a75cf1d,0,0
control,peter279k/cdc-data-mirror,2025-07,committer_month_count_mismatch,panel_anchor_union,3211,3214,3,c222fdc6613ae88fff6d11839203748524ef7960,16d33f4cf273238e076e41485b08ac6f9f465ba6,0,0
control,peter279k/cdc-data-mirror,2025-08,committer_month_count_mismatch,panel_anchor_union,3340,3336,-4,155d25ce5d1d0186bd35369b1e942d14873d306d,c77a6b02d9a891fc34f542f9c1e3735e53a7276f,0,0
control,pieces-app/cli-agent,2024-07,committer_month_count_mismatch,panel_anchor_union,113,112,-1,29b96b9086e9a713ae96d7100c99f2d13e32ed36,29b96b9086e9a713ae96d7100c99f2d13e32ed36,0,1
control,pieces-app/cli-agent,2024-08,committer_month_count_mismatch,panel_anchor_union,43,44,1,4def71a34cef3f881e94999af7c0fd7295ffd9d3,4def71a34cef3f881e94999af7c0fd7295ffd9d3,0,1
control,pieces-app/cli-agent,2025-06,committer_month_count_mismatch,panel_anchor_union,118,116,-2,6c44181fb35136721f941a77b6be436f6926c7cb,03a34390a86fc2cfa70a4e6e789bb2ce91de430a,0,0
control,pieces-app/cli-agent,2025-07,committer_month_count_mismatch,panel_anchor_union,143,142,-1,ff6928ee937c16312c73e3f95f2f768dd8428065,f05228b9d7f79c4ea0c5dd72f15a67e2f18318a8,0,0
control,pieces-app/cli-agent,2025-08,committer_month_count_mismatch,panel_anchor_union,81,84,3,77aac10a2531b95d9a25482cae08d56b1b2f4def,77aac10a2531b95d9a25482cae08d56b1b2f4def,0,1
control,thefatedefeater/V2ray-Config,2024-06,committer_month_count_mismatch,panel_anchor_union,21,3,-18,849e5260fa8fd115a9c4eb02aaf52b1d5caf9c22,1ff893c14f5130907554a243107727b023549365,0,0
control,thefatedefeater/V2ray-Config,2024-07,committer_month_count_mismatch,panel_anchor_union,734,748,14,7cd5f783b40053673bfb09d45f023558373395e4,76116765da6ba2d36ccf8eb67319b4273cb4fcf6,0,0
control,thefatedefeater/V2ray-Config,2024-08,committer_month_count_mismatch,panel_anchor_union,419,423,4,e9dd2c850775f49050f71fad152907956ae98b46,e9dd2c850775f49050f71fad152907956ae98b46,0,1
control,thefatedefeater/V2ray-Config,2024-09,committer_month_count_mismatch,panel_anchor_union,389,385,-4,52b97d71955840f071426e07fb1da4f58a875b7b,675e5753703b2c3f56d7ae1b2d5c0001073f84d9,0,0
control,thefatedefeater/V2ray-Config,2024-10,committer_month_latest_mismatch,panel_anchor_union,713,713,0,84a348b938534446f7dc2ad04cb8a5808a39d137,dbdfc2bab2d4d7999c8a4aa2d7b8a5dcd836d211,1,0
control,thefatedefeater/V2ray-Config,2024-11,committer_month_latest_mismatch,panel_anchor_union,690,690,0,62c1d0c1a3be28d377cf22ccae7c43a03789b5fb,8ece4c0e2137f6fe2e2a455936bf363d41b68b1b,1,0
control,thefatedefeater/V2ray-Config,2024-12,committer_month_count_mismatch,panel_anchor_union,700,699,-1,9240083e6eebd43801cab3836c84a236683f3e41,e18f09a0f4fba9c820072bd2c601a0ad59cbfe9a,0,0
