dataset_source,file,rows,repos,min_month,max_month,missing_latest_commit,duplicate_repo_month_rows
treatment,repo_python/run-py-2a/strict/treatment/data/ts_repos_monthly.csv,1264,100,2024-01,2025-08,0,0
control,repo_python/run-py-2a/strict/control/data/ts_repos_monthly.csv,1779,120,2024-01,2025-08,0,0
