dataset_source,rows,repos,mean_commits,mean_lines_added,mean_log_commits,mean_log_lines_added,mean_contributors_log
treatment,917,110,98.3565976008724,33354.1712104689,3.38321432237817,8.07807164943714,1.60594712578974
control,789,122,142.206590621039,179289.719898606,2.83679249916991,6.70529396459041,1.27348648879073
