outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,estimate_pct,conf_low_pct,conf_high_pct
log_commits,Commits,-6,-0.0106010037048102,-0.301174478379819,0.279972470970199,0.148251772793372,0.942994445875531,FALSE,flexible,-1.05450110989781,-26.0051343559692,32.3093388358763
log_commits,Commits,-5,-0.060882503307555,-0.327650105963983,0.205885099348873,0.136105919722667,0.654646132658436,FALSE,flexible,-5.9066210110632,-27.9384885469671,22.8612027562886
log_commits,Commits,-4,-0.170330808157774,-0.431337492081787,0.0906758757662382,0.133166675471435,0.200868946811888,FALSE,flexible,-15.661422844964,-35.0360374456319,9.4914059557732
log_commits,Commits,-3,0.0550437885760721,-0.212283988737648,0.322371565889792,0.136391723119245,0.686527974722305,FALSE,flexible,5.65868800975142,-19.1265006678511,38.0397589337916
log_commits,Commits,-2,0.0749718572008498,-0.159632729329497,0.309576443731197,0.119696217617524,0.531084678123268,FALSE,flexible,7.78538166343135,-14.7543186134136,36.2847749159952
log_commits,Commits,0,0.478109007211915,0.22383895829218,0.73237905613165,0.129729616795783,0.000228319694524365,TRUE,flexible,61.3021304755741,25.0869561036826,108.002321795991
log_commits,Commits,1,0.481379412441373,0.201492447872095,0.761266377010651,0.142799471719019,0.000748913015209963,TRUE,flexible,61.8305173552624,22.3226999061173,114.098579965714
log_commits,Commits,2,0.220624401586914,-0.0999778722455334,0.541226675419361,0.163572588690024,0.177405744245466,FALSE,flexible,24.6855025834483,-9.51425597222991,71.8113137215944
log_commits,Commits,3,-0.0127969369020965,-0.348651541311122,0.323057667506929,0.171354390004605,0.940468433770176,FALSE,flexible,-1.27154042649658,-29.4361026534117,38.1345007331596
log_commits,Commits,4,-0.0854529737033946,-0.436821530086189,0.265915582679399,0.179269671623874,0.633595144955004,FALSE,flexible,-8.19036832912957,-35.3913271835492,30.4624921098005
log_commits,Commits,5,0.123464730610531,-0.240630966117727,0.487560427338789,0.185763110575642,0.506283751407805,FALSE,flexible,13.1410099694918,-21.3868317908517,62.8338919360203
log_commits,Commits,6,-0.196702181823486,-0.697182722986874,0.303778359339903,0.25534721487928,0.441102860284328,FALSE,flexible,-17.8564764768717,-50.2013705284043,35.4968706647524
log_lines_added,Lines Added,-6,0.115185401952685,-0.562342422552167,0.792713226457538,0.345677461482068,0.738970933596712,FALSE,flexible,12.2081454380695,-43.0127383271326,120.938285733522
log_lines_added,Lines Added,-5,-0.0788862807505558,-0.673360984684633,0.515588423183521,0.303303420374529,0.794794111975833,FALSE,flexible,-7.5854988453149,-49.0008379955795,67.4623599291499
log_lines_added,Lines Added,-4,-0.0826992729008495,-0.710640118200366,0.545241572398667,0.320377982295672,0.796306327957351,FALSE,flexible,-7.9372036628199,-50.8670412233496,72.5025050485858
log_lines_added,Lines Added,-3,0.131637338472969,-0.507330875749273,0.770605552695211,0.326004190929715,0.686366911058389,FALSE,flexible,14.0694558213805,-39.78994829389,116.10745021276
log_lines_added,Lines Added,-2,0.271818217283268,-0.304943517201991,0.848579951768526,0.294266191063908,0.35563450329042,FALSE,flexible,31.2348417365938,-26.2834989641862,133.632679842761
log_lines_added,Lines Added,0,1.73258239851305,1.11455988750385,2.35060490952225,0.315317607657757,3.91327758602215e-08,TRUE,flexible,465.523914904043,204.822632142499,949.19144645036
log_lines_added,Lines Added,1,1.28675204885269,0.648124567961645,1.92537952974374,0.325830347393391,7.84300677933893e-05,TRUE,flexible,262.100658323451,91.1951728980961,585.775089249559
log_lines_added,Lines Added,2,1.32330923165751,0.601413979087196,2.04520448422782,0.368313904372608,0.000327037865969903,TRUE,flexible,275.582974554878,82.4697060642119,673.073919052896
log_lines_added,Lines Added,3,0.279271922094221,-0.478694654378077,1.03723849856652,0.386717641057295,0.470196255141487,FALSE,flexible,32.2166821363362,-38.0408354592063,182.141490523672
log_lines_added,Lines Added,4,0.0598253374188436,-0.783747555335339,0.903398230173026,0.430394333037848,0.889449184903808,FALSE,flexible,6.16510996291637,-54.3308675639312,146.797562647291
log_lines_added,Lines Added,5,1.06697232209737,0.232068667838606,1.90187597635613,0.425971252172838,0.0122521034572348,TRUE,flexible,190.656601881086,26.1206330167661,569.84487943245
log_lines_added,Lines Added,6,0.579682997345639,-0.29050132129773,1.44986731598901,0.443971591144576,0.191662804251051,FALSE,flexible,78.5472341557364,-25.211145887195,326.254890556013
